"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"533","Tim Lincecum",472528,"CH|CH","Strike","null","null"
"539","Tim Lincecum",458675,"CH|FT","Strike","null","null"
"542","Tim Lincecum",503556,"FT|FT","Strike","null","null"
"545","Tim Lincecum",503556,"CH|FT","Strike","null","null"
"547","Tim Lincecum",460576,"CH|CH","Foul","null","null"
"550","Tim Lincecum",460576,"CH|FT","Strike","null","null"
"551","Tim Lincecum",460576,"FT|FT","Hit","94.1","8.3"
"555","Tim Lincecum",488771,"FT|CU","Strike","null","null"
"559","Tim Lincecum",543807,"FT|FT","Hit","101.1","-8.19"
"562","Tim Lincecum",472528,"CH|CU","Strike","null","null"
"566","Tim Lincecum",621043,"SL|FT","Strike","null","null"
"568","Tim Lincecum",621043,"FT|CH","Hit","78.9","26.07"
"570","Tim Lincecum",458675,"CH|FT","Hit","90","58.16"
"574","Tim Lincecum",594828,"CH|CH","Foul","null","null"
"576","Tim Lincecum",594828,"CH|CH","Foul","null","null"
"586","Tim Lincecum",543807,"FF|FT","Strike","null","null"
"590","Tim Lincecum",472528,"FT|CH","Foul","null","null"
"591","Tim Lincecum",472528,"CH|FT","Foul","null","null"
"592","Tim Lincecum",472528,"FT|CH","Foul","null","null"
"594","Tim Lincecum",472528,"FT|FT","Foul","null","null"
"596","Tim Lincecum",472528,"FT|CH","Hit","93.5","-4.65"
"598","Tim Lincecum",514888,"CU|FF","Hit","105.2","14.73"
"600","Tim Lincecum",514888,"CU|CU","Foul","null","null"
"605","Tim Lincecum",621043,"CH|CH","Strike","null","null"
"609","Tim Lincecum",458675,"CH|FT","Foul","null","null"
"611","Tim Lincecum",458675,"FT|CH","Foul","null","null"
"614","Tim Lincecum",458675,"CH|CH","Foul","null","null"
"615","Tim Lincecum",458675,"CH|CH","Hit","85.6","4.57"
"617","Tim Lincecum",514888,"CH|SL","Hit","54.1","38.67"
"618","Tim Lincecum",514888,"SL|CU","Strike","null","null"
"621","Tim Lincecum",621043,"FF|FT","Hit","105.1","23.65"
"631","Tim Lincecum",424825,"CH|CH","Foul","null","null"
"632","Tim Lincecum",424825,"CH|CH","Hit","88.1","9.65"
"634","Tim Lincecum",424825,"FT|FT","Strike","null","null"
"636","Tim Lincecum",570489,"FT|CU","Hit","74","-4.87"
"637","Tim Lincecum",570489,"CU|FT","Strike","null","null"
"640","Tim Lincecum",476704,"FT|CH","Hit","57.6","-12.64"
"642","Tim Lincecum",476704,"FT|FT","Foul","null","null"
"643","Tim Lincecum",476704,"FT|CH","Foul","null","null"
"645","Tim Lincecum",519390,"FT|FT","Strike","null","null"
"646","Tim Lincecum",519390,"FT|FT","Hit","96.5","3.1"
"651","Tim Lincecum",502143,"FF|FT","Foul","null","null"
"655","Tim Lincecum",502143,"CH|FT","Strike","null","null"
"661","Tim Lincecum",501981,"FF|FT","Strike","null","null"
"662","Tim Lincecum",501981,"FT|FT","Foul","null","null"
"663","Tim Lincecum",501981,"FT|FF","Foul","null","null"
"665","Tim Lincecum",476704,"CU|FT","Strike","null","null"
"666","Tim Lincecum",476704,"FT|FT","Strike","null","null"
"671","Tim Lincecum",543760,"CH|CH","Foul","null","null"
"673","Tim Lincecum",543760,"FF|CH","Foul","null","null"
"674","Tim Lincecum",543760,"CH|FF","Hit","68.4","-31.38"
"676","Tim Lincecum",501981,"FF|FT","Foul","null","null"
"677","Tim Lincecum",501981,"FT|FT","Hit","82.2","-27.66"
"681","Tim Lincecum",519390,"FT|FT","Foul","null","null"
"682","Tim Lincecum",519390,"FT|CH","Hit","62.4","52.05"
"684","Tim Lincecum",519390,"FT|FT","Foul","null","null"
"685","Tim Lincecum",519390,"FT|CU","Foul","null","null"
"690","Tim Lincecum",475174,"FT|FT","Hit","89.1","36.23"
"695","Tim Lincecum",543760,"CH|CH","Strike","null","null"
"698","Tim Lincecum",424825,"CH|FT","Strike","null","null"
"699","Tim Lincecum",424825,"FT|FT","Hit","78","20.94"
"701","Tim Lincecum",502143,"FT|FT","Hit","99.4","9.04"
"704","Tim Lincecum",475174,"FT|CH","Hit","71.1","33.05"
"707","Tim Lincecum",571970,"CH|CH","Hit","96.3","1.89"
"708","Tim Lincecum",571970,"CH|FT","Strike","null","null"
"712","Tim Lincecum",542993,"FT|CH","Hit","83.7","17.82"
"714","Tim Lincecum",424825,"CH|FT","Strike","null","null"
"715","Tim Lincecum",424825,"FT|CH","Hit","90.8","4.8"
"717","Tim Lincecum",502143,"FF|SL","Strike","null","null"
"720","Tim Lincecum",501981,"FF|CH","Foul","null","null"
"721","Tim Lincecum",501981,"CH|FF","Hit","89.6","42.42"
"724","Tim Lincecum",501981,"SL|FF","Strike","null","null"
"726","Tim Lincecum",476704,"FF|CH","Hit","92.2","15.91"
"727","Tim Lincecum",476704,"CH|FF","Strike","null","null"
"728","Tim Lincecum",476704,"FF|FT","Foul","null","null"
"729","Tim Lincecum",476704,"FT|FF","Foul","null","null"
"733","Tim Lincecum",572033,"CH|SL","Strike","null","null"
"734","Tim Lincecum",572033,"SL|CH","Hit","67.8","-11.12"
"736","Tim Lincecum",543760,"FT|FT","Foul","null","null"
"739","Tim Lincecum",543760,"CU|CH","Hit","74.5","-34.11"
"745","Tim Lincecum",424825,"CH|CH","Strike","null","null"
"753","Tim Lincecum",502143,"FF|FF","Hit","82.7","11.95"
"760","Tim Lincecum",572033,"FF|FF","Hit","64.9","50.16"
"763","Tim Lincecum",543760,"FT|FF","Hit","85.9","57.26"
"765","Tim Lincecum",542993,"FT|FT","Foul","null","null"
"766","Tim Lincecum",542993,"FT|SL","Hit","93.8","-15.94"
"768","Tim Lincecum",542993,"CH|FT","Foul","null","null"
"773","Tim Lincecum",519390,"CH|CH","Foul","null","null"
"774","Tim Lincecum",519390,"CH|FT","Strike","null","null"
"775","Tim Lincecum",519390,"FT|FT","Foul","null","null"
"776","Tim Lincecum",519390,"FT|CH","Hit","90.2","28.34"
"781","Tim Lincecum",502143,"FT|FT","Strike","null","null"
"786","Tim Lincecum",501981,"FF|FF","Hit","72.9","-11.37"
"788","Tim Lincecum",476704,"FT|CH","Hit","80.3","-11.4"
"792","Tim Lincecum",475174,"CH|FF","Hit","105.1","-3.31"
"793","Tim Lincecum",475174,"FF|SL","Strike","null","null"
"794","Tim Lincecum",475174,"SL|FF","Foul","null","null"
"795","Tim Lincecum",475174,"FF|FF","Strike","null","null"
"796","Tim Lincecum",475174,"FF|CH","Foul","null","null"
"797","Tim Lincecum",475174,"CH|FF","Foul","null","null"
"798","Tim Lincecum",475174,"FF|CH","Hit","48.4","-38.03"
"800","Tim Lincecum",519390,"FT|CH","Strike","null","null"
"802","Tim Lincecum",519390,"FT|FF","Foul","null","null"
"803","Tim Lincecum",519390,"FF|CH","Foul","null","null"
"806","Tim Lincecum",519390,"CH|FF","Hit","100.5","27.77"
