"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1600","Clayton Kershaw",542303,"SL|SL","In play, out(s)","102.2","8.28"
"1601","Clayton Kershaw",592663,"NULL","Called Strike","null","null"
"1602","Clayton Kershaw",592663,"CU|SL","In play, out(s)","null","null"
"1603","Clayton Kershaw",592663,"SL|FF","Foul","null","76.59"
"1604","Clayton Kershaw",453400,"NULL","Swinging Strike","null","null"
"1605","Clayton Kershaw",453400,"FF|FF","Foul","null","null"
"1606","Clayton Kershaw",453400,"FF|FF","Ball","null","null"
"1607","Clayton Kershaw",453400,"FF|SL","Ball","null","null"
"1608","Clayton Kershaw",453400,"SL|CU","Swinging Strike","null","null"
"1609","Clayton Kershaw",588751,"NULL","In play, out(s)","101.5","6.36"
"1610","Clayton Kershaw",588751,"SL|FF","Called Strike","null","null"
"1611","Clayton Kershaw",445988,"NULL","Ball","null","null"
"1612","Clayton Kershaw",445988,"SL|FF","In play, run(s)","69.9","9.85"
"1613","Clayton Kershaw",445988,"FF|FF","Called Strike","null","null"
"1614","Clayton Kershaw",592885,"NULL","Ball","null","null"
"1615","Clayton Kershaw",592885,"FF|SL","Swinging Strike","null","null"
"1616","Clayton Kershaw",592885,"SL|FF","Ball","null","null"
"1617","Clayton Kershaw",592885,"FF|FF","Foul","null","51.83"
"1618","Clayton Kershaw",592885,"FF|FF","In play, run(s)","103.1","7.97"
"1619","Clayton Kershaw",519317,"NULL","In play, run(s)","109.5","22.37"
"1620","Clayton Kershaw",519317,"FF|SL","Ball In Dirt","null","null"
"1621","Clayton Kershaw",542303,"NULL","Called Strike","null","null"
"1622","Clayton Kershaw",542303,"SL|CU","Ball","null","null"
"1623","Clayton Kershaw",542303,"CU|FF","Called Strike","null","null"
"1624","Clayton Kershaw",542303,"FF|SL","Ball","null","null"
"1625","Clayton Kershaw",542303,"SL|SL","Called Strike","null","null"
"1626","Clayton Kershaw",592663,"NULL","Swinging Strike","null","null"
"1627","Clayton Kershaw",592663,"SL|SL","Ball","null","null"
"1628","Clayton Kershaw",592663,"SL|FF","Ball","null","null"
"1629","Clayton Kershaw",592663,"FF|SL","Hit By Pitch","null","null"
"1630","Clayton Kershaw",453400,"NULL","Called Strike","null","null"
"1631","Clayton Kershaw",453400,"FF|SL","Swinging Strike","null","null"
"1632","Clayton Kershaw",453400,"SL|FF","Foul","null","null"
"1633","Clayton Kershaw",588751,"NULL","In play, out(s)","76","52.11"
"1634","Clayton Kershaw",588751,"CU|FF","Called Strike","null","null"
"1635","Clayton Kershaw",500743,"NULL","In play, out(s)","75.7","-11.43"
"1636","Clayton Kershaw",500743,"FF|FF","Foul","null","77.92"
"1637","Clayton Kershaw",445988,"NULL","Ball In Dirt","null","null"
"1638","Clayton Kershaw",445988,"CU|FF","Called Strike","null","null"
"1639","Clayton Kershaw",445988,"FF|SL","In play, out(s)","92","28.55"
"1640","Clayton Kershaw",445988,"SL|SL","Ball","null","null"
"1641","Clayton Kershaw",445988,"SL|FF","Called Strike","null","null"
"1642","Clayton Kershaw",445988,"FF|SL","Ball","null","null"
"1643","Clayton Kershaw",592885,"NULL","Ball","null","null"
"1644","Clayton Kershaw",592885,"FF|SL","Ball","null","null"
"1645","Clayton Kershaw",592885,"SL|FF","In play, out(s)","91.5","-25.31"
"1646","Clayton Kershaw",592885,"FF|FF","Foul","null","null"
"1647","Clayton Kershaw",543829,"NULL","Ball","null","null"
"1648","Clayton Kershaw",543829,"FF|FF","In play, no out","99.2","19.06"
"1649","Clayton Kershaw",543829,"FF|FF","Ball","null","null"
"1650","Clayton Kershaw",500743,"NULL","Foul","null","58.96"
"1651","Clayton Kershaw",500743,"FF|FF","Ball","null","null"
"1652","Clayton Kershaw",500743,"FF|SL","In play, no out","60.1","24.4"
"1653","Clayton Kershaw",430947,"NULL","In play, no out","101.4","4.23"
"1654","Clayton Kershaw",430947,"FF|FF","Ball","null","null"
"1655","Clayton Kershaw",593495,"NULL","Missed Bunt","null","null"
"1656","Clayton Kershaw",593495,"SL|SL","Foul (Runner Going)","null","47.81"
"1657","Clayton Kershaw",593495,"SL|SL","In play, run(s)","96.8","18.54"
"1658","Clayton Kershaw",593495,"SL|FF","Ball","null","null"
"1659","Clayton Kershaw",593495,"FF|FF","Foul","null","33.82"
"1660","Clayton Kershaw",593495,"FF|CU","Ball In Dirt","null","null"
"1661","Clayton Kershaw",611177,"NULL","In play, out(s)","87","8.84"
"1662","Clayton Kershaw",611177,"SL|FF","Ball","null","null"
"1663","Clayton Kershaw",452095,"NULL","Foul","null","-13.64"
"1664","Clayton Kershaw",452095,"SL|FF","In play, no out","83.3","14"
"1665","Clayton Kershaw",452095,"FF|FF","Ball","null","null"
"1666","Clayton Kershaw",425796,"NULL","In play, no out","104.2","6.23"
"1667","Clayton Kershaw",453211,"NULL","Called Strike","null","null"
"1668","Clayton Kershaw",453211,"FF|CU","Ball In Dirt","null","null"
"1669","Clayton Kershaw",453211,"CU|SL","Ball In Dirt","null","null"
"1670","Clayton Kershaw",453211,"SL|SL","Called Strike","null","null"
"1671","Clayton Kershaw",453211,"SL|CU","Ball","null","null"
"1672","Clayton Kershaw",453211,"CU|FF","In play, no out","87.3","-0.14"
"1673","Clayton Kershaw",605480,"NULL","Swinging Strike","null","null"
"1674","Clayton Kershaw",605480,"FF|FF","Swinging Strike","null","null"
"1675","Clayton Kershaw",605480,"FF|FF","Called Strike","null","null"
"1676","Clayton Kershaw",605538,"NULL","In play, out(s)","91.3","5.02"
"1677","Clayton Kershaw",605538,"FF|FF","Called Strike","null","null"
"1678","Clayton Kershaw",430947,"NULL","Ball","null","null"
"1679","Clayton Kershaw",430947,"CH|CU","Foul","null","null"
"1680","Clayton Kershaw",430947,"CU|FF","Called Strike","null","null"
"1681","Clayton Kershaw",430947,"FF|FF","Called Strike","null","null"
"1682","Clayton Kershaw",430947,"FF|SL","Called Strike","null","null"
"1683","Clayton Kershaw",593495,"NULL","Called Strike","null","null"
"1684","Clayton Kershaw",593495,"SL|FF","Ball","null","null"
"1685","Clayton Kershaw",593495,"FF|FF","Called Strike","null","null"
"1686","Clayton Kershaw",593495,"FF|CU","In play, out(s)","85.2","-6.33"
"1687","Clayton Kershaw",518692,"NULL","Swinging Strike","null","null"
"1688","Clayton Kershaw",518692,"FF|CU","Ball","null","null"
"1689","Clayton Kershaw",518692,"CU|FF","Foul","null","39.92"
"1690","Clayton Kershaw",518692,"FF|SL","Called Strike","null","null"
"1691","Clayton Kershaw",518692,"SL|CU","Ball","null","null"
"1692","Clayton Kershaw",518692,"CU|FF","Swinging Strike","null","null"
"1693","Clayton Kershaw",452095,"NULL","Called Strike","null","null"
"1694","Clayton Kershaw",452095,"SL|SL","Foul","null","-36.14"
"1695","Clayton Kershaw",452095,"SL|CU","Foul","null","-18.67"
"1696","Clayton Kershaw",452095,"CU|CU","Swinging Strike (Blocked)","null","null"
"1697","Clayton Kershaw",452095,"CU|CU","Ball","null","null"
"1698","Clayton Kershaw",425796,"NULL","In play, no out","83.2","18.21"
"1699","Clayton Kershaw",453211,"NULL","Ball","null","null"
"1700","Clayton Kershaw",453211,"FF|FF","Foul","null","null"
"1701","Clayton Kershaw",453211,"FF|FF","Ball","null","null"
"1702","Clayton Kershaw",453211,"FF|SL","In play, no out","97.7","3.87"
"1703","Clayton Kershaw",605480,"NULL","Foul","null","null"
"1704","Clayton Kershaw",605480,"FF|FF","Ball","null","null"
"1705","Clayton Kershaw",605480,"FF|CU","Swinging Strike (Blocked)","null","null"
"1706","Clayton Kershaw",605480,"CU|FF","Swinging Strike","null","null"
"1707","Clayton Kershaw",605538,"NULL","Called Strike","null","null"
"1708","Clayton Kershaw",605538,"FF|SL","Called Strike","null","null"
