#,YEAR,LVL,PITCHER,NAME,PITCHES,PITCH_SEQUENCE,1st Pitch Type,2nd Pitch Type,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up,,Statcast combo
1,2016,mlb,58911,Trevor May,72,CU|FA,CU,FA,0.8859,1.9371,0.2242,0.9869,0.0881,0.8743,0.2272,94.575,9.536,0.173913043478261,0.521739130434783,0.6,0.2,0.2,0,,CU|FF
2,2016,mlb,58911,Trevor May,77,FA|CU,FA,CU,1.0284,1.9845,0.245,0.8376,0.0857,0.8614,0.2926,81.7,-0.234444444444445,0.232558139534884,0.488372093023256,0.666666666666667,0.111111111111111,0.222222222222222,0,,FF|CU
3,2016,mlb,58911,Trevor May,241,FA|FA,FA,FA,0.061,1.2673,0.1435,0.7093,0.0032,0.0433,0.2023,94.775,22.4132432432432,0.195121951219512,0.597560975609756,0.216216216216216,0.405405405405405,0.324324324324324,0.0540540540540541,,FF|FF
