"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"220","Lucas Harrell",514888,"SL|SL","Called Strike","null","null"
"221","Lucas Harrell",514888,"SL|CU","Called Strike","null","null"
"225","Lucas Harrell",621043,"FT|SL","Called Strike","null","null"
"227","Lucas Harrell",621043,"SL|FT","Foul","null","null"
"228","Lucas Harrell",621043,"FT|FT","Foul","null","null"
"229","Lucas Harrell",621043,"FT|FT","Foul","null","null"
"231","Lucas Harrell",621043,"CU|CU","Foul","null","null"
"232","Lucas Harrell",621043,"CU|FT","In play, out(s)","98.9","15.48"
"239","Lucas Harrell",545350,"CU|SL","In play, out(s)","102.1","-2.14"
"241","Lucas Harrell",608324,"SL|SL","Swinging Strike","null","null"
"244","Lucas Harrell",608324,"CU|FF","In play, no out","102.5","12.68"
"247","Lucas Harrell",605512,"FF|FT","Foul","null","null"
"250","Lucas Harrell",605512,"CU|SL","In play, no out","75.3","-55.13"
"252","Lucas Harrell",488771,"FF|SL","Foul","null","null"
"254","Lucas Harrell",488771,"FF|CU","In play, out(s)","57.1","-48.9"
"257","Lucas Harrell",543807,"FT|FT","In play, out(s)","82.4","-14.84"
"260","Lucas Harrell",596144,"SL|SL","In play, out(s)","106","5.64"
"261","Lucas Harrell",596144,"SL|FF","Called Strike","null","null"
"263","Lucas Harrell",543333,"SL|FT","In play, run(s)","100.9","22.87"
"265","Lucas Harrell",543333,"FT|FT","Swinging Strike","null","null"
"267","Lucas Harrell",543333,"FF|FT","Swinging Strike","null","null"
"271","Lucas Harrell",460086,"SL|FT","In play, no out","87.9","18.01"
"272","Lucas Harrell",460086,"FT|FF","Called Strike","null","null"
"277","Lucas Harrell",460077,"SL|CU","In play, out(s)","80.9","-8.21"
"278","Lucas Harrell",460077,"CU|SL","Foul","null","null"
"279","Lucas Harrell",460077,"SL|SL","Called Strike","null","null"
"281","Lucas Harrell",502481,"SL|SL","In play, out(s)","76.1","-16.49"
"286","Lucas Harrell",444876,"SL|FT","In play, out(s)","70.8","-25.06"
"288","Lucas Harrell",444876,"SL|FF","Foul","null","null"
"290","Lucas Harrell",596144,"SL|FT","Called Strike","null","null"
"291","Lucas Harrell",596144,"FT|FF","Foul","null","null"
"297","Lucas Harrell",543333,"CU|CU","Foul (Runner Going)","null","null"
"298","Lucas Harrell",543333,"CU|FF","Called Strike","null","null"
"301","Lucas Harrell",543333,"SL|SL","Swinging Strike","null","null"
"306","Lucas Harrell",434778,"FT|FT","Called Strike","null","null"
"318","Lucas Harrell",609275,"SL|FT","Swinging Strike","null","null"
"320","Lucas Harrell",609275,"FT|FT","Called Strike","null","null"
"321","Lucas Harrell",609275,"FT|SL","Swinging Strike","null","null"
"324","Lucas Harrell",444876,"FF|FT","In play, run(s)","90.5","12.22"
"326","Lucas Harrell",444876,"CU|FT","Called Strike","null","null"
"328","Lucas Harrell",596144,"SL|FT","Called Strike","null","null"
"330","Lucas Harrell",543333,"CU|CU","In play, out(s)","null","null"
"333","Lucas Harrell",434778,"FT|FT","In play, out(s)","106.2","-5"
"336","Lucas Harrell",460086,"CU|CU","Called Strike","null","null"
"337","Lucas Harrell",460086,"CU|SL","Called Strike","null","null"
"340","Lucas Harrell",449181,"FT|SL","In play, out(s)","90.6","41.62"
"343","Lucas Harrell",449181,"FF|CU","In play, out(s)","105.1","-15.12"
"344","Lucas Harrell",449181,"CU|SL","Foul","null","null"
"348","Lucas Harrell",444876,"SL|FT","Foul","null","null"
"349","Lucas Harrell",444876,"FT|FT","Foul","null","null"
"351","Lucas Harrell",444876,"SL|FT","In play, out(s)","null","null"
"354","Lucas Harrell",456488,"FT|FT","Called Strike","null","null"
"358","Lucas Harrell",408045,"FT|FT","In play, out(s)","97.3","24.13"
"363","Lucas Harrell",593934,"FT|FT","Foul","null","null"
"364","Lucas Harrell",593934,"FT|FF","Foul","null","null"
"365","Lucas Harrell",593934,"FF|FF","Called Strike","null","null"
"367","Lucas Harrell",572821,"FF|FT","Called Strike","null","null"
"368","Lucas Harrell",572821,"FT|FF","In play, out(s)","97.1","-2.96"
"369","Lucas Harrell",572821,"FF|FF","Called Strike","null","null"
"371","Lucas Harrell",435559,"FT|FT","In play, out(s)","null","null"
