"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"592","Jeanmar Gomez",630111,"SI|SI","In play, no out","103.2","12.69"
"593","Jeanmar Gomez",630111,"SI|SI","Called Strike","null","null"
"595","Jeanmar Gomez",516416,"SI|SI","Called Strike","null","null"
"596","Jeanmar Gomez",516416,"SI|SI","In play, out(s)","null","null"
"598","Jeanmar Gomez",605113,"CH|SL","In play, out(s)","95","41.13"
"599","Jeanmar Gomez",605113,"SL|SI","Called Strike","null","null"
"602","Jeanmar Gomez",456422,"SI|SI","In play, out(s)","null","null"
"604","Jeanmar Gomez",456422,"SI|SI","Swinging Strike","null","null"
"606","Jeanmar Gomez",592620,"CH|CH","Swinging Strike","null","null"
"608","Jeanmar Gomez",434636,"SI|SI","In play, out(s)","88.5","5.57"
"610","Jeanmar Gomez",434636,"SI|SI","Foul","null","null"
"615","Jeanmar Gomez",456488,"CH|SI","Called Strike","null","null"
"617","Jeanmar Gomez",621439,"SI|SI","Foul","null","null"
"619","Jeanmar Gomez",621439,"SI|SI","Called Strike","null","null"
"622","Jeanmar Gomez",621439,"SI|SI","In play, out(s)","103.6","8.13"
"624","Jeanmar Gomez",518542,"CH|SL","Foul","null","null"
"625","Jeanmar Gomez",518542,"SL|SI","In play, out(s)","94.7","24.76"
"627","Jeanmar Gomez",518542,"CH|SI","Foul","null","null"
"630","Jeanmar Gomez",666560,"SL|SI","Called Strike","null","null"
"632","Jeanmar Gomez",596146,"SI|SI","Called Strike","null","null"
"633","Jeanmar Gomez",596146,"SI|SI","In play, no out","93.1","-23.38"
"635","Jeanmar Gomez",571875,"CH|SI","In play, run(s)","107.9","19.53"
"636","Jeanmar Gomez",571875,"SI|CH","Swinging Strike","null","null"
"641","Jeanmar Gomez",543302,"SI|CH","Swinging Strike","null","null"
"645","Jeanmar Gomez",598284,"SI|SI","Swinging Strike","null","null"
"647","Jeanmar Gomez",598284,"SI|SI","Swinging Strike","null","null"
"649","Jeanmar Gomez",475253,"SI|SL","Foul","null","null"
"651","Jeanmar Gomez",475253,"SI|SL","Called Strike","null","null"
"652","Jeanmar Gomez",475253,"SL|SI","Swinging Strike","null","null"
"653","Jeanmar Gomez",475253,"SI|SI","In play, no out","93.5","4.06"
"655","Jeanmar Gomez",542992,"SI|SI","In play, out(s)","77.3","-5.76"
"656","Jeanmar Gomez",542992,"SI|SI","Called Strike","null","null"
"659","Jeanmar Gomez",581527,"SI|CH","Called Strike","null","null"
"662","Jeanmar Gomez",543685,"CH|SI","Foul","null","null"
"663","Jeanmar Gomez",543685,"SI|SI","Called Strike","null","null"
"665","Jeanmar Gomez",543685,"SL|SI","In play, out(s)","null","null"
"668","Jeanmar Gomez",547180,"SI|SI","Foul","null","null"
"670","Jeanmar Gomez",547180,"CH|SI","Called Strike","null","null"
"671","Jeanmar Gomez",547180,"SI|CH","In play, no out","97","-9.14"
"673","Jeanmar Gomez",457787,"CH|CH","Foul","null","null"
"674","Jeanmar Gomez",457787,"CH|SI","Foul","null","null"
"675","Jeanmar Gomez",457787,"SI|SI","Swinging Strike","null","null"
"677","Jeanmar Gomez",457787,"CH|CH","In play, no out","87.6","9.78"
"679","Jeanmar Gomez",519184,"SI|CH","In play, out(s)","88.9","28.02"
"681","Jeanmar Gomez",519184,"CH|CH","Called Strike","null","null"
"683","Jeanmar Gomez",519208,"CH|SI","Foul","null","null"
"688","Jeanmar Gomez",150029,"CH|SI","Called Strike","null","null"
"690","Jeanmar Gomez",150029,"SI|SI","Called Strike","null","null"
"691","Jeanmar Gomez",150029,"SI|SI","In play, run(s)","102.7","7.19"
"694","Jeanmar Gomez",451594,"SI|SI","Called Strike","null","null"
"697","Jeanmar Gomez",451594,"SI|SI","In play, run(s)","94.6","39.73"
"699","Jeanmar Gomez",518792,"SL|SL","In play, out(s)","null","null"
"701","Jeanmar Gomez",592178,"SL|SI","Foul","null","null"
"702","Jeanmar Gomez",592178,"SI|SI","Called Strike","null","null"
"704","Jeanmar Gomez",592178,"CH|SL","Swinging Strike","null","null"
"708","Jeanmar Gomez",600303,"CH|SI","Foul","null","null"
"709","Jeanmar Gomez",600303,"SI|SL","Foul","null","null"
"711","Jeanmar Gomez",600303,"CH|SI","In play, no out","101.5","18.66"
"713","Jeanmar Gomez",424325,"SL|SI","In play, out(s)","64.6","-3.84"
"715","Jeanmar Gomez",450314,"SI|SL","Foul","null","null"
"716","Jeanmar Gomez",450314,"SL|SI","In play, out(s)","73.6","-18.16"
"718","Jeanmar Gomez",570267,"SI|SI","Called Strike","null","null"
"720","Jeanmar Gomez",570267,"SL|SI","Swinging Strike","null","null"
"723","Jeanmar Gomez",541650,"SI|SL","Swinging Strike (Blocked)","null","null"
"724","Jeanmar Gomez",541650,"SL|SI","Called Strike","null","null"
"726","Jeanmar Gomez",431094,"SI|SI","Foul","null","null"
"727","Jeanmar Gomez",431094,"SI|CH","Foul","null","null"
"729","Jeanmar Gomez",431094,"SI|SI","Foul","null","null"
"731","Jeanmar Gomez",431094,"SI|SI","In play, out(s)","92.5","45.54"
"733","Jeanmar Gomez",570717,"SI|CH","Swinging Strike","null","null"
"735","Jeanmar Gomez",570717,"CH|SI","Foul","null","null"
"736","Jeanmar Gomez",570717,"SI|CH","In play, no out","59.9","-21.89"
"738","Jeanmar Gomez",542979,"CH|CH","Foul","null","null"
"739","Jeanmar Gomez",542979,"CH|SI","Called Strike","null","null"
"740","Jeanmar Gomez",542979,"SI|SI","Foul","null","null"
"741","Jeanmar Gomez",542979,"SI|CH","Missed Bunt","null","null"
"743","Jeanmar Gomez",542340,"CH|CH","Foul","null","null"
"746","Jeanmar Gomez",542340,"SI|SI","Called Strike","null","null"
"747","Jeanmar Gomez",542340,"SI|CH","In play, run(s)","102.5","25.88"
"755","Jeanmar Gomez",518960,"SI|CH","Foul","null","null"
"757","Jeanmar Gomez",518960,"SI|SI","Swinging Strike","null","null"
"760","Jeanmar Gomez",518960,"SI|SI","Foul","null","null"
"763","Jeanmar Gomez",457787,"SI|SI","In play, out(s)","83.4","70.41"
"766","Jeanmar Gomez",543685,"SL|CH","Called Strike","null","null"
"768","Jeanmar Gomez",475582,"CH|SL","Called Strike","null","null"
"769","Jeanmar Gomez",475582,"SL|SI","In play, out(s)","null","null"
"773","Jeanmar Gomez",408234,"SI|SI","In play, out(s)","79.1","13.48"
"774","Jeanmar Gomez",408234,"SI|SI","Called Strike","null","null"
"778","Jeanmar Gomez",457727,"SI|SI","Called Strike","null","null"
"779","Jeanmar Gomez",457727,"SI|CH","In play, out(s)","91.2","-14.49"
"781","Jeanmar Gomez",455976,"CH|CH","Called Strike","null","null"
"782","Jeanmar Gomez",455976,"CH|CH","In play, out(s)","103.2","-12.95"
"784","Jeanmar Gomez",493596,"SI|SI","Called Strike","null","null"
"785","Jeanmar Gomez",493596,"SI|CH","Called Strike","null","null"
"788","Jeanmar Gomez",150229,"SI|SI","In play, out(s)","93.8","24.19"
"790","Jeanmar Gomez",150229,"SI|SI","Called Strike","null","null"
"792","Jeanmar Gomez",592663,"SL|SI","Called Strike","null","null"
"794","Jeanmar Gomez",592885,"SI|SI","In play, out(s)","null","null"
"797","Jeanmar Gomez",519317,"CH|CH","Swinging Strike (Blocked)","null","null"
"798","Jeanmar Gomez",519317,"CH|SI","Called Strike","null","null"
"799","Jeanmar Gomez",519317,"SI|CH","Swinging Strike","null","null"
"803","Jeanmar Gomez",453400,"SL|SL","Swinging Strike","null","null"
"809","Jeanmar Gomez",445988,"CH|CH","Called Strike","null","null"
"813","Jeanmar Gomez",588751,"SI|SI","In play, no out","105.1","9.54"
"816","Jeanmar Gomez",542303,"CH|SI","Called Strike","null","null"
"818","Jeanmar Gomez",553993,"SL|SI","Foul","null","null"
"820","Jeanmar Gomez",553993,"SL|SI","Called Strike","null","null"
"822","Jeanmar Gomez",458015,"CH|SI","Hit By Pitch","null","null"
"824","Jeanmar Gomez",458015,"SI|SI","Called Strike","null","null"
"827","Jeanmar Gomez",408252,"SI|SI","In play, out(s)","93.3","4.7"
"829","Jeanmar Gomez",605480,"SI|CH","Foul","null","null"
"830","Jeanmar Gomez",605480,"CH|SI","In play, out(s)","85.1","25.17"
"833","Jeanmar Gomez",593495,"SI|SI","Called Strike","null","null"
"835","Jeanmar Gomez",518692,"SL|CH","In play, run(s)","100.6","25.2"
"836","Jeanmar Gomez",518692,"CH|SI","Called Strike","null","null"
"839","Jeanmar Gomez",452095,"SI|SI","In play, out(s)","101.6","31.18"
"843","Jeanmar Gomez",458582,"SI|SI","Foul","null","null"
"844","Jeanmar Gomez",458582,"SI|SI","In play, out(s)","80.5","41.64"
"847","Jeanmar Gomez",430637,"SI|CH","Swinging Strike","null","null"
"851","Jeanmar Gomez",430637,"SI|SI","In play, no out","83","22.84"
"853","Jeanmar Gomez",453400,"SI|CH","Called Strike","null","null"
"854","Jeanmar Gomez",453400,"CH|SI","Called Strike","null","null"
"856","Jeanmar Gomez",453400,"SI|CH","Foul","null","null"
"858","Jeanmar Gomez",519317,"SI|SI","Called Strike","null","null"
"859","Jeanmar Gomez",519317,"SI|CH","Called Strike","null","null"
"860","Jeanmar Gomez",519317,"CH|CH","Swinging Strike","null","null"
"862","Jeanmar Gomez",445988,"CH|SI","Called Strike","null","null"
"864","Jeanmar Gomez",445988,"CH|SI","In play, no out","78.6","-4.68"
"866","Jeanmar Gomez",592885,"SI|SI","Called Strike","null","null"
"867","Jeanmar Gomez",592885,"SI|SI","Foul","null","null"
"868","Jeanmar Gomez",592885,"SI|CH","Foul (Runner Going)","null","null"
"871","Jeanmar Gomez",592885,"SI|CH","In play, out(s)","97.6","42.51"
"873","Jeanmar Gomez",453400,"SI|SI","Foul","null","null"
"874","Jeanmar Gomez",453400,"SI|SI","Foul","null","null"
"876","Jeanmar Gomez",453400,"SI|SI","Called Strike","null","null"
"877","Jeanmar Gomez",453400,"SI|SL","Swinging Strike","null","null"
"880","Jeanmar Gomez",592663,"SL|SI","In play, no out","106.9","-3.61"
"882","Jeanmar Gomez",500743,"SI|SI","In play, out(s)","100.4","-8.94"
"886","Jeanmar Gomez",543939,"CH|SL","Foul","null","null"
"889","Jeanmar Gomez",543939,"CH|SI","Foul","null","null"
"900","Jeanmar Gomez",407812,"SI|SI","In play, run(s)","104.3","-9.5"
"904","Jeanmar Gomez",572039,"SI|CH","Swinging Strike","null","null"
"905","Jeanmar Gomez",572039,"CH|SI","Swinging Strike","null","null"
"906","Jeanmar Gomez",572039,"SI|SI","In play, run(s)","89.8","-8.71"
"908","Jeanmar Gomez",572761,"SI|CH","Foul","null","null"
"909","Jeanmar Gomez",572761,"CH|SI","Foul","null","null"
"910","Jeanmar Gomez",572761,"SI|CH","Foul","null","null"
"912","Jeanmar Gomez",572761,"CH|SI","Foul","null","null"
"913","Jeanmar Gomez",572761,"SI|SI","Foul","null","null"
"914","Jeanmar Gomez",572761,"SI|CH","Foul","null","null"
"915","Jeanmar Gomez",572761,"CH|SI","Foul","null","null"
"917","Jeanmar Gomez",572039,"CH|SI","In play, no out","93.9","-2.05"
"922","Jeanmar Gomez",571431,"CH|CH","In play, out(s)","74","-12.24"
"924","Jeanmar Gomez",571431,"SI|CH","Foul","null","null"
"928","Jeanmar Gomez",608070,"CH|CH","Called Strike","null","null"
"929","Jeanmar Gomez",608070,"CH|SI","Called Strike","null","null"
"930","Jeanmar Gomez",608070,"SI|SI","In play, no out","89","0.11"
"934","Jeanmar Gomez",434658,"SI|SI","In play, out(s)","76.2","-0.05"
"935","Jeanmar Gomez",434658,"SI|CH","Foul","null","null"
"938","Jeanmar Gomez",543401,"SI|SI","In play, out(s)","106.9","19.63"
"940","Jeanmar Gomez",543401,"SI|CH","Swinging Strike","null","null"
