"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1117","Jeanmar Gomez",519083,"SI|SL","Foul","null","null"
"1120","Jeanmar Gomez",425834,"SI|SI","In play, no out","null","null"
"1123","Jeanmar Gomez",493316,"SI|SI","In play, out(s)","null","null"
"1125","Jeanmar Gomez",493316,"SI|SI","Called Strike","null","-19.31"
"1129","Jeanmar Gomez",446263,"SI|SI","In play, out(s)","78.6","11.92"
"1131","Jeanmar Gomez",435522,"CH|SI","Called Strike","null","-20.92"
"1134","Jeanmar Gomez",435522,"CH|SI","Swinging Strike","null","null"
"1136","Jeanmar Gomez",624424,"SI|CH","In play, out(s)","null","null"
"1138","Jeanmar Gomez",527038,"SI|SL","Foul","null","null"
"1139","Jeanmar Gomez",527038,"SL|SI","In play, out(s)","87","7.59"
"1142","Jeanmar Gomez",408252,"SL|SL","Swinging Strike","null","null"
"1143","Jeanmar Gomez",408252,"SL|SI","In play, out(s)","null","null"
"1144","Jeanmar Gomez",408252,"SI|SL","Swinging Strike","null","null"
"1147","Jeanmar Gomez",457803,"SI|SL","Foul","null","null"
"1149","Jeanmar Gomez",457803,"SI|CH","Called Strike","null","null"
"1152","Jeanmar Gomez",457803,"CH|CH","Swinging Strike","null","null"
