"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"202","Ross Ohlendorf",594838,"SL|FF","Called Strike","null","null"
"203","Ross Ohlendorf",594838,"FF|FF","Foul","null","null"
"204","Ross Ohlendorf",594838,"FF|FF","In play, no out","null","null"
"206","Ross Ohlendorf",572041,"FF|FF","Foul","null","null"
"207","Ross Ohlendorf",572041,"FF|CH","In play, out(s)","87.3","-26.57"
"209","Ross Ohlendorf",572008,"CH|FF","Swinging Strike","null","null"
"210","Ross Ohlendorf",572008,"FF|SL","In play, no out","104.4","-6.17"
"211","Ross Ohlendorf",572008,"SL|FF","Called Strike","null","null"
"212","Ross Ohlendorf",572008,"FF|FF","Foul","null","null"
"214","Ross Ohlendorf",519048,"FF|CH","In play, out(s)","91.4","34.8"
"217","Ross Ohlendorf",608577,"FF|FT","Called Strike","null","null"
"222","Ross Ohlendorf",518960,"CH|SL","Foul","null","null"
"223","Ross Ohlendorf",518960,"SL|FF","In play, out(s)","98.2","-12.57"
"227","Ross Ohlendorf",592626,"FT|SL","Foul","null","null"
"228","Ross Ohlendorf",592626,"SL|SL","Foul","null","null"
"231","Ross Ohlendorf",592808,"CH|FF","In play, out(s)","96.9","-3.42"
"236","Ross Ohlendorf",574847,"CH|CH","Foul","null","null"
"237","Ross Ohlendorf",574847,"CH|FF","Swinging Strike","null","null"
"241","Ross Ohlendorf",400284,"FT|SL","Foul","null","null"
"243","Ross Ohlendorf",400284,"FT|CH","Swinging Strike","null","null"
"245","Ross Ohlendorf",400284,"SL|FF","Swinging Strike","null","null"
"247","Ross Ohlendorf",435062,"CH|FF","Called Strike","null","null"
"249","Ross Ohlendorf",518735,"CH|SL","Swinging Strike (Blocked)","null","null"
"251","Ross Ohlendorf",518735,"CH|SL","Swinging Strike","null","null"
"254","Ross Ohlendorf",574847,"FF|FF","Called Strike","null","null"
"259","Ross Ohlendorf",400284,"FF|CH","In play, no out","74.4","24.52"
