"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"839","Ross Ohlendorf",492841,"FF|FF","In play, out(s)","null","null"
"844","Ross Ohlendorf",596019,"FF|FF","Foul","null","null"
"845","Ross Ohlendorf",596019,"FF|FF","Swinging Strike","null","null"
"846","Ross Ohlendorf",596019,"FF|FF","In play, no out","null","null"
"849","Ross Ohlendorf",346874,"SL|SL","In play, out(s)","null","null"
"851","Ross Ohlendorf",346874,"SL|SL","Foul","null","null"
"854","Ross Ohlendorf",502034,"FF|FT","In play, out(s)","76.9","-26.55"
"861","Ross Ohlendorf",514917,"CH|FF","Called Strike","null","null"
"864","Ross Ohlendorf",596748,"SL|FF","In play, run(s)","100.5","12.99"
"866","Ross Ohlendorf",433217,"FF|CH","In play, out(s)","74.1","-7.15"
"868","Ross Ohlendorf",433217,"FF|CH","Foul","null","null"
"871","Ross Ohlendorf",501896,"SL|FF","Hit By Pitch","null","null"
"874","Ross Ohlendorf",459964,"CH|FF","Called Strike","null","null"
"875","Ross Ohlendorf",459964,"FF|FF","Swinging Strike","null","null"
"876","Ross Ohlendorf",459964,"FF|FF","Foul","null","null"
"877","Ross Ohlendorf",459964,"FF|FF","In play, out(s)","88.1","53.8"
"881","Ross Ohlendorf",628356,"CH|FF","Foul","null","null"
"882","Ross Ohlendorf",628356,"FF|FF","In play, no out","85.8","-4.52"
"884","Ross Ohlendorf",474568,"CU|FF","In play, run(s)","60.8","38.76"
"889","Ross Ohlendorf",474892,"FF|SL","Called Strike","null","null"
"891","Ross Ohlendorf",474892,"SL|FF","Called Strike","null","null"
"894","Ross Ohlendorf",431094,"FF|FF","In play, no out","98.8","2.76"
"895","Ross Ohlendorf",431094,"FF|SL","Called Strike","null","null"
"899","Ross Ohlendorf",541650,"SL|FF","Called Strike","null","null"
"900","Ross Ohlendorf",541650,"FF|FF","Swinging Strike","null","null"
"901","Ross Ohlendorf",541650,"FF|FF","Swinging Strike","null","null"
"903","Ross Ohlendorf",570717,"FF|FF","Called Strike","null","null"
"905","Ross Ohlendorf",570717,"CH|SL","Called Strike","null","null"
"907","Ross Ohlendorf",595023,"FF|FF","Foul","null","null"
"912","Ross Ohlendorf",595023,"FF|FF","Foul","null","null"
"915","Ross Ohlendorf",542340,"CH|FF","Called Strike","null","null"
"916","Ross Ohlendorf",542340,"FF|FF","Foul","null","null"
"919","Ross Ohlendorf",542340,"FF|FF","Swinging Strike","null","null"
"921","Ross Ohlendorf",570267,"SL|FF","Called Strike","null","null"
"922","Ross Ohlendorf",570267,"FF|SL","Foul","null","null"
"925","Ross Ohlendorf",570267,"SL|FF","Called Strike","null","null"
"928","Ross Ohlendorf",502100,"FF|FT","In play, out(s)","null","null"
"930","Ross Ohlendorf",502100,"CH|CH","Foul","null","null"
"932","Ross Ohlendorf",541650,"FF|SL","Called Strike","null","null"
"933","Ross Ohlendorf",541650,"SL|SL","Swinging Strike (Blocked)","null","null"
"936","Ross Ohlendorf",623143,"FF|CH","In play, out(s)","88.2","26.86"
"938","Ross Ohlendorf",605509,"FF|FF","Foul","null","null"
"940","Ross Ohlendorf",605509,"SL|FF","Foul","null","null"
"941","Ross Ohlendorf",605509,"FF|FF","In play, out(s)","95.7","5.9"
"943","Ross Ohlendorf",605509,"FF|SL","Foul","null","null"
"946","Ross Ohlendorf",607776,"FF|FF","In play, no out","107.4","16.3"
"948","Ross Ohlendorf",607776,"SL|FF","Swinging Strike","null","null"
"951","Ross Ohlendorf",622110,"CH|SL","Called Strike","null","null"
"953","Ross Ohlendorf",622110,"SL|FF","Foul","null","null"
"955","Ross Ohlendorf",622110,"SL|FF","Foul","null","null"
"956","Ross Ohlendorf",622110,"FF|null","Swinging Strike (Blocked)","null","null"
"959","Ross Ohlendorf",446481,"FF|SL","Called Strike","null","null"
"960","Ross Ohlendorf",446481,"SL|CH","Swinging Strike","null","null"
"961","Ross Ohlendorf",446481,"CH|SL","Swinging Strike","null","null"
"965","Ross Ohlendorf",455755,"FF|FF","Foul","null","null"
"967","Ross Ohlendorf",455755,"SL|FF","Called Strike","null","null"
"968","Ross Ohlendorf",455755,"FF|FF","In play, out(s)","99.8","19.28"
"970","Ross Ohlendorf",595386,"SL|FF","Foul","null","null"
"971","Ross Ohlendorf",595386,"FF|SL","Swinging Strike (Blocked)","null","null"
"972","Ross Ohlendorf",595386,"SL|SL","Called Strike","null","null"
"973","Ross Ohlendorf",595386,"SL|FF","Foul","null","null"
"977","Ross Ohlendorf",457705,"FF|FF","Called Strike","null","null"
"979","Ross Ohlendorf",474568,"FF|FF","Called Strike","null","null"
"980","Ross Ohlendorf",474568,"FF|FF","In play, out(s)","92.5","-5.32"
"984","Ross Ohlendorf",608700,"FF|FF","Foul","null","37.59"
"985","Ross Ohlendorf",608700,"FF|FF","Foul","null","41.29"
"988","Ross Ohlendorf",608700,"FF|SL","Swinging Strike (Blocked)","null","null"
"990","Ross Ohlendorf",434158,"CH|FF","Foul","null","null"
"991","Ross Ohlendorf",434158,"FF|FF","Foul","null","54.24"
"992","Ross Ohlendorf",434158,"FF|FF","Called Strike","null","null"
"996","Ross Ohlendorf",434158,"FF|FF","Foul","null","61.17"
"997","Ross Ohlendorf",434158,"FF|FF","In play, out(s)","null","null"
"999","Ross Ohlendorf",457477,"FF|CH","In play, out(s)","83.4","9.58"
"1000","Ross Ohlendorf",457477,"CH|CH","Called Strike","null","null"
"1006","Ross Ohlendorf",519333,"FF|SL","In play, out(s)","87.6","4.61"
"1008","Ross Ohlendorf",519333,"SL|FF","Swinging Strike","null","null"
"1010","Ross Ohlendorf",608365,"FF|FF","Foul","null","null"
"1011","Ross Ohlendorf",608365,"FF|FF","Called Strike","null","null"
"1012","Ross Ohlendorf",608365,"FF|FF","Foul","null","null"
"1014","Ross Ohlendorf",624585,"FF|SL","Called Strike","null","null"
"1015","Ross Ohlendorf",624585,"SL|SL","In play, out(s)","76.4","62.67"
"1018","Ross Ohlendorf",519203,"CH|FF","Swinging Strike","null","null"
"1019","Ross Ohlendorf",519203,"FF|FF","In play, out(s)","70.3","65.5"
"1021","Ross Ohlendorf",488681,"FF|FF","Swinging Strike (Blocked)","null","45.88"
"1023","Ross Ohlendorf",488681,"FF|FF","Foul","null","null"
"1026","Ross Ohlendorf",518934,"SL|CH","In play, out(s)","75.2","38.84"
"1031","Ross Ohlendorf",488681,"CH|SL","Swinging Strike (Blocked)","null","null"
"1032","Ross Ohlendorf",488681,"SL|FF","Foul","null","38.21"
"1034","Ross Ohlendorf",542436,"FF|FF","In play, out(s)","83.8","52.89"
"1035","Ross Ohlendorf",542436,"FF|FF","Called Strike","null","null"
"1037","Ross Ohlendorf",547172,"SL|FF","Called Strike","null","null"
"1038","Ross Ohlendorf",547172,"FF|FF","Called Strike","null","null"
"1039","Ross Ohlendorf",547172,"FF|CH","Swinging Strike","null","null"
"1043","Ross Ohlendorf",430605,"SL|SL","Foul","null","-24.74"
"1044","Ross Ohlendorf",430605,"SL|FF","Swinging Strike","null","null"
"1045","Ross Ohlendorf",430605,"FF|SL","Swinging Strike","null","null"
"1048","Ross Ohlendorf",467827,"CH|CH","Foul","null","32.25"
"1049","Ross Ohlendorf",467827,"CH|FF","Swinging Strike","null","null"
"1050","Ross Ohlendorf",467827,"FF|CH","Foul","null","35.12"
"1056","Ross Ohlendorf",571448,"SL|FF","Called Strike","null","null"
"1057","Ross Ohlendorf",571448,"FF|FF","Foul","null","null"
"1068","Ross Ohlendorf",594824,"SL|SL","In play, out(s)","69.2","41.74"
"1069","Ross Ohlendorf",594824,"SL|FF","Called Strike","null","null"
"1070","Ross Ohlendorf",594824,"FF|FF","Foul","null","null"
"1075","Ross Ohlendorf",407812,"SL|FF","Foul","null","null"
"1076","Ross Ohlendorf",407812,"FF|SL","Swinging Strike","null","null"
"1077","Ross Ohlendorf",407812,"SL|SL","Swinging Strike (Blocked)","null","null"
"1080","Ross Ohlendorf",576397,"FF|FF","In play, out(s)","82.4","68.83"
"1082","Ross Ohlendorf",451594,"FF|FF","Swinging Strike","null","null"
"1083","Ross Ohlendorf",451594,"FF|FF","Called Strike","null","null"
"1085","Ross Ohlendorf",451594,"FF|FF","Swinging Strike","null","null"
"1087","Ross Ohlendorf",518792,"FF|FF","Called Strike","null","null"
"1091","Ross Ohlendorf",457705,"SL|FF","Swinging Strike","null","null"
"1092","Ross Ohlendorf",457705,"FF|FF","In play, out(s)","99.5","46.98"
"1094","Ross Ohlendorf",501896,"FF|FF","In play, no out","97.7","19.58"
"1096","Ross Ohlendorf",501896,"FF|FF","Foul","null","39.32"
"1098","Ross Ohlendorf",570256,"FF|FF","Foul","null","null"
"1100","Ross Ohlendorf",570256,"SL|FF","Called Strike","null","null"
"1101","Ross Ohlendorf",570256,"FF|FF","In play, out(s)","88.7","38.81"
"1104","Ross Ohlendorf",543281,"FF|FF","In play, out(s)","null","null"
"1106","Ross Ohlendorf",543281,"FF|FF","Swinging Strike","null","null"
"1109","Ross Ohlendorf",516782,"FT|FF","In play, no out","57.2","25.75"
"1113","Ross Ohlendorf",444379,"FF|FF","Called Strike","null","null"
"1114","Ross Ohlendorf",444379,"FF|FF","Hit By Pitch","null","null"
"1116","Ross Ohlendorf",444379,"FF|FF","Foul","null","null"
"1120","Ross Ohlendorf",457705,"FF|SL","Called Strike","null","null"
"1125","Ross Ohlendorf",546318,"FF|SL","Foul","null","null"
"1126","Ross Ohlendorf",546318,"SL|CH","Called Strike","null","null"
"1127","Ross Ohlendorf",546318,"CH|FF","Foul","null","null"
"1130","Ross Ohlendorf",429667,"FF|CH","In play, out(s)","90.2","43.52"
"1133","Ross Ohlendorf",433217,"FF|FF","Called Strike","null","null"
"1136","Ross Ohlendorf",573131,"SL|FF","Swinging Strike","null","null"
"1137","Ross Ohlendorf",573131,"FF|FF","Called Strike","null","null"
"1138","Ross Ohlendorf",573131,"FF|FF","Called Strike","null","null"
