pitch_type,player_name,batter,description,hit_speed,hit_angle
SI,Kyle Hendricks,465041,Foul Tip,null,null
CU,Kyle Hendricks,465041,Called Strike,null,null
SI,Kyle Hendricks,624428,Ball,null,null
SI,Kyle Hendricks,624428,Called Strike,null,null
CH,Kyle Hendricks,624428,Foul,null,null
SI,Kyle Hendricks,624428,Ball,null,null
SI,Kyle Hendricks,624428,Called Strike,null,null
SI,Kyle Hendricks,624428,Ball,null,null
CH,Kyle Hendricks,593700,"In play, out(s)",null,null
SI,Kyle Hendricks,593700,Called Strike,null,null
FC,Kyle Hendricks,444379,Ball,null,null
CH,Kyle Hendricks,444379,Called Strike,null,null
CH,Kyle Hendricks,444379,Swinging Strike,null,null
CU,Kyle Hendricks,444379,Called Strike,null,null
CH,Kyle Hendricks,605137,Called Strike,null,null
SI,Kyle Hendricks,605137,Ball,null,null
CH,Kyle Hendricks,605137,"In play, out(s)",null,null
FC,Kyle Hendricks,605137,Called Strike,null,null
CU,Kyle Hendricks,459964,Called Strike,null,null
FC,Kyle Hendricks,459964,Ball,null,null
CH,Kyle Hendricks,459964,"In play, out(s)",null,null
CU,Kyle Hendricks,459964,Ball,null,null
CH,Kyle Hendricks,628356,Ball,null,null
CH,Kyle Hendricks,628356,"In play, no out",null,null
SI,Kyle Hendricks,628356,Called Strike,null,null
CU,Kyle Hendricks,446481,Foul,null,null
CU,Kyle Hendricks,446481,Ball In Dirt,null,null
CH,Kyle Hendricks,446481,"In play, no out",null,null
CH,Kyle Hendricks,446481,Called Strike,null,null
CH,Kyle Hendricks,607732,Ball,null,null
SI,Kyle Hendricks,607732,Ball,null,null
SI,Kyle Hendricks,607732,Foul,null,null
CH,Kyle Hendricks,607732,"In play, no out",null,null
CU,Kyle Hendricks,607732,Called Strike,null,null
SI,Kyle Hendricks,624428,"In play, out(s)",null,null
SI,Kyle Hendricks,474568,Ball,null,null
SI,Kyle Hendricks,474568,Ball,null,null
FC,Kyle Hendricks,474568,Called Strike,null,null
SI,Kyle Hendricks,474568,"In play, out(s)",null,null
SI,Kyle Hendricks,474568,Ball,null,null
CH,Kyle Hendricks,605137,Ball,null,null
CH,Kyle Hendricks,605137,Ball,null,null
CH,Kyle Hendricks,605137,"In play, out(s)",null,null
CU,Kyle Hendricks,605137,Called Strike,null,null
CH,Kyle Hendricks,605137,Swinging Strike,null,null
SI,Kyle Hendricks,444379,Ball,null,null
SI,Kyle Hendricks,444379,"In play, out(s)",null,null
FC,Kyle Hendricks,444379,Called Strike,null,null
SI,Kyle Hendricks,474568,Called Strike,null,null
CU,Kyle Hendricks,474568,Ball,null,null
CH,Kyle Hendricks,474568,"In play, out(s)",null,null
FC,Kyle Hendricks,474568,Called Strike,null,null
SI,Kyle Hendricks,641771,Ball,null,null
SI,Kyle Hendricks,641771,Ball,null,null
SI,Kyle Hendricks,641771,"In play, no out",null,null
SI,Kyle Hendricks,641771,Called Strike,null,null
FC,Kyle Hendricks,542340,Called Strike,null,null
FC,Kyle Hendricks,542340,Swinging Strike,null,null
SI,Kyle Hendricks,542340,Called Strike,null,null
SI,Kyle Hendricks,571697,Ball,null,null
SI,Kyle Hendricks,571697,Called Strike,null,null
CU,Kyle Hendricks,571697,Swinging Strike,null,null
