NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Wainwright,155,FC|FC,0.0873,1.299,0.1363,0.7344,0.006,0.0641,0.1856,83.071875,8.463939394,0.171875,0.453125,0.606060606,0.151515152,0.181818182,0.060606061
Arquimedes Caminero,60,FC|FC,0.0875,1.2379,0.1614,0.7129,0.008,0.0624,0.2264,79.01111111,12.70888889,0.138888889,0.416666667,0.333333333,0.222222222,0.444444444,0
Cesar Vargas,188,FC|FC,0.0499,1.47,0.1535,0.8474,0.0036,0.0423,0.1811,93.16296296,10.82296296,0.114285714,0.4,0.407407407,0.333333333,0.259259259,0
Jeff Samardzija,149,FC|FC,0.0597,1.2238,0.1351,0.6875,0.0034,0.041,0.1965,82.05416667,11.48346154,0.171171171,0.504504505,0.461538462,0.192307692,0.307692308,0.038461538
Jon Lester,150,FC|FC,0.0606,1.3875,0.0827,0.7888,0.0047,0.0478,0.1049,89.68125,1.86625,0.163636364,0.490909091,0.625,0.125,0.25,0
Mike Bolsinger,67,FC|FC,0.0634,1.4233,0.1407,0.7901,0.0037,0.0501,0.1781,97.75,21.3825,0,0.333333333,0.25,0,0.75,0
Mike Fiers,85,FC|FC,0.0758,1.2634,0.1338,0.7007,0.0041,0.0531,0.1909,86.78823529,-0.349411765,0.047619048,0.285714286,0.705882353,0.176470588,0.117647059,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
