"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"869","Nate Jones",429666,"FT|FT","Foul","null","null"
"870","Nate Jones",429666,"FT|SL","Foul","null","null"
"872","Nate Jones",518626,"FT|FT","In play, out(s)","56.4","-50.6"
"875","Nate Jones",430832,"SL|FT","Swinging Strike","null","null"
"877","Nate Jones",429665,"FT|FT","Foul","null","null"
"880","Nate Jones",425902,"FT|FT","Foul","null","69.88"
"887","Nate Jones",435622,"FT|FT","Called Strike","null","null"
"889","Nate Jones",435622,"FT|FT","In play, no out","98.5","8"
"891","Nate Jones",519048,"FT|SL","Foul","null","-14.62"
"892","Nate Jones",519048,"SL|SL","Swinging Strike","null","null"
"893","Nate Jones",519048,"SL|FT","Foul","null","24.52"
"894","Nate Jones",519048,"FT|FT","Foul","null","null"
"896","Nate Jones",462101,"SL|FT","Called Strike","null","null"
"897","Nate Jones",462101,"FT|SL","In play, out(s)","81.4","27.14"
