"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1509","Tyler Chatwood",446359,"FC|FC","Swinging Strike","null","null"
"1511","Tyler Chatwood",446359,"FT|FT","In play, no out","104","-1.91"
"1513","Tyler Chatwood",571740,"FF|FF","In play, run(s)","95.6","-5.07"
"1519","Tyler Chatwood",458015,"FT|FF","Called Strike","null","null"
"1523","Tyler Chatwood",457803,"FT|CH","Swinging Strike","null","null"
"1524","Tyler Chatwood",457803,"CH|FF","In play, out(s)","98.9","17.07"
"1525","Tyler Chatwood",457803,"FF|CU","Called Strike","null","null"
"1527","Tyler Chatwood",553993,"FC|FT","Called Strike","null","null"
"1532","Tyler Chatwood",474443,"FC|FT","Foul","null","null"
"1534","Tyler Chatwood",541608,"FT|FT","Foul","null","null"
"1536","Tyler Chatwood",543424,"FF|FT","Foul","null","null"
"1537","Tyler Chatwood",543424,"FT|FT","Called Strike","null","null"
"1538","Tyler Chatwood",543424,"FT|CU","Foul","null","null"
"1539","Tyler Chatwood",543424,"CU|FT","Foul","null","null"
"1540","Tyler Chatwood",543424,"FT|FF","Foul","null","null"
"1541","Tyler Chatwood",543424,"FF|FT","In play, out(s)","90.1","-5.03"
"1544","Tyler Chatwood",446359,"CU|FC","In play, out(s)","84.9","45.67"
"1546","Tyler Chatwood",571740,"CU|FT","Called Strike","null","null"
"1547","Tyler Chatwood",571740,"FT|FT","Called Strike","null","null"
"1549","Tyler Chatwood",458015,"FF|FF","Foul","null","null"
"1550","Tyler Chatwood",458015,"FF|FF","Called Strike","null","null"
"1551","Tyler Chatwood",458015,"FF|FF","In play, no out","102.1","13.94"
"1558","Tyler Chatwood",457803,"FT|FF","In play, out(s)","99.6","47.69"
"1562","Tyler Chatwood",474443,"FT|FF","Called Strike","null","null"
"1563","Tyler Chatwood",474443,"FF|FT","Foul","null","null"
"1566","Tyler Chatwood",474443,"FT|FC","Called Strike","null","null"
"1568","Tyler Chatwood",541608,"FT|FF","Swinging Strike","null","null"
"1569","Tyler Chatwood",541608,"FF|FC","Foul","null","null"
"1570","Tyler Chatwood",541608,"FC|FT","Called Strike","null","null"
"1571","Tyler Chatwood",541608,"FT|FF","In play, run(s)","68.3","19.75"
"1573","Tyler Chatwood",543424,"FT|CH","Foul","null","null"
"1574","Tyler Chatwood",543424,"CH|FT","Foul","null","null"
"1576","Tyler Chatwood",458015,"FF|FF","Foul","null","null"
"1577","Tyler Chatwood",458015,"FF|FC","Foul","null","null"
"1578","Tyler Chatwood",458015,"FC|FT","Swinging Strike","null","null"
"1580","Tyler Chatwood",458015,"FF|FF","In play, run(s)","87","-13.99"
"1582","Tyler Chatwood",541608,"FT|FT","In play, run(s)","93","-7.1"
"1586","Tyler Chatwood",452655,"FF|FT","Foul","null","null"
"1587","Tyler Chatwood",452655,"FT|FT","Called Strike","null","null"
"1588","Tyler Chatwood",452655,"FT|FC","Foul","null","null"
"1589","Tyler Chatwood",452655,"FC|CU","In play, out(s)","58.4","-30.08"
"1591","Tyler Chatwood",605412,"FT|FF","Foul","null","null"
"1592","Tyler Chatwood",605412,"FF|CU","Foul","null","null"
