"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"256","Leonel Campos",460075,"SL|SL","Swinging Strike","null","null"
"258","Leonel Campos",571466,"FF|FF","Foul","null","null"
"260","Leonel Campos",571466,"FF|FF","Foul","null","null"
"262","Leonel Campos",571466,"FF|FF","In play, out(s)","94.1","26.32"
"264","Leonel Campos",474443,"SL|FF","Called Strike","null","null"
"267","Leonel Campos",474443,"FF|FF","In play, out(s)","86.9","2.21"
"269","Leonel Campos",571740,"FF|SL","In play, no out","54.9","-35.66"
"270","Leonel Campos",571740,"SL|FF","Called Strike","null","null"
"272","Leonel Campos",446359,"FF|FF","Called Strike","null","null"
"276","Leonel Campos",552662,"CH|FF","Foul","null","null"
"279","Leonel Campos",552662,"CH|FF","In play, out(s)","null","null"
"282","Leonel Campos",502182,"FF|FF","Foul","null","null"
"283","Leonel Campos",502182,"FF|SL","Foul","null","null"
"284","Leonel Campos",502182,"SL|FF","Foul","null","null"
"289","Leonel Campos",596143,"FF|SL","Called Strike","null","null"
"291","Leonel Campos",596143,"FF|FF","Foul","null","null"
"295","Leonel Campos",452234,"SL|CH","Swinging Strike","null","null"
"297","Leonel Campos",452234,"FF|FT","Called Strike","null","null"
"301","Leonel Campos",502523,"SL|CH","Called Strike","null","null"
"302","Leonel Campos",502523,"CH|SL","Swinging Strike","null","null"
"303","Leonel Campos",502523,"SL|FF","Foul","null","null"
"305","Leonel Campos",493193,"CH|SL","Swinging Strike","null","null"
"311","Leonel Campos",572122,"FT|FT","Foul","null","null"
"314","Leonel Campos",572122,"FF|SL","Foul","null","null"
"318","Leonel Campos",452252,"FT|CH","Called Strike","null","null"
"320","Leonel Campos",430001,"CH|SL","Swinging Strike","null","null"
"321","Leonel Campos",430001,"SL|FF","Called Strike","null","null"
"327","Leonel Campos",456422,"FF|FF","In play, out(s)","101.7","3.15"
"328","Leonel Campos",456422,"FF|FF","Swinging Strike","null","null"
"333","Leonel Campos",518960,"CH|FF","In play, out(s)","null","null"
"336","Leonel Campos",570267,"FF|CH","Called Strike","null","null"
"342","Leonel Campos",543590,"FT|FF","Swinging Strike","null","null"
"343","Leonel Campos",543590,"FF|FF","In play, out(s)","null","null"
"345","Leonel Campos",543590,"FF|FF","Foul","null","null"
"347","Leonel Campos",431094,"FF|SL","Called Strike","null","null"
"348","Leonel Campos",431094,"SL|SL","Foul","null","null"
"350","Leonel Campos",502100,"CH|FF","Called Strike","null","null"
"351","Leonel Campos",502100,"FF|CH","Swinging Strike (Blocked)","null","null"
"353","Leonel Campos",474892,"SL|FF","Foul","null","null"
"354","Leonel Campos",474892,"FF|SL","In play, out(s)","74.5","-1.33"
"358","Leonel Campos",425626,"FF|FF","Called Strike","null","null"
"361","Leonel Campos",542340,"FF|SL","In play, out(s)","94","-9.36"
"362","Leonel Campos",542340,"SL|CH","Called Strike","null","null"
"365","Leonel Campos",543281,"FF|FF","Called Strike","null","null"
"366","Leonel Campos",543281,"FF|SL","Swinging Strike","null","null"
"368","Leonel Campos",474568,"FF|FF","Hit By Pitch","null","-6.62"
"376","Leonel Campos",501896,"SL|FF","In play, run(s)","89.4","1.88"
"378","Leonel Campos",516782,"FF|FF","In play, run(s)","90.3","28.22"
"379","Leonel Campos",516782,"FF|FF","Foul","null","null"
"384","Leonel Campos",465041,"FF|FF","Foul","null","-13.78"
"385","Leonel Campos",465041,"FF|SL","Foul","null","-43.72"
"387","Leonel Campos",465041,"SL|FF","Swinging Strike","null","null"
"388","Leonel Campos",465041,"FF|FF","In play, run(s)","89.7","18.42"
