"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"193","J.T. Chargois",547379,"FT|SL","Called Strike","null","null"
"196","J.T. Chargois",434658,"SL|SL","Swinging Strike","null","null"
"198","J.T. Chargois",434658,"SL|SL","In play, out(s)","103.2","7.64"
"201","J.T. Chargois",467793,"CH|FT","In play, run(s)","104.7","8.76"
"206","J.T. Chargois",607680,"FT|FT","Called Strike","null","null"
"208","J.T. Chargois",581527,"CH|FT","Called Strike","null","null"
"209","J.T. Chargois",581527,"FT|CH","Swinging Strike (Blocked)","null","null"
"210","J.T. Chargois",581527,"CH|FT","Called Strike","null","null"
"212","J.T. Chargois",425834,"FT|FT","Foul","null","null"
"215","J.T. Chargois",425834,"SL|FT","In play, run(s)","97.8","18.88"
"217","J.T. Chargois",457708,"FT|FT","Foul","null","null"
"218","J.T. Chargois",457708,"FT|SL","Swinging Strike","null","null"
"220","J.T. Chargois",457708,"FT|FT","Foul","null","null"
"222","J.T. Chargois",543510,"SL|SL","In play, no out","98.9","-12.13"
"227","J.T. Chargois",408234,"FT|FT","Called Strike","null","null"
"231","J.T. Chargois",502110,"SL|FT","Foul","null","null"
"232","J.T. Chargois",502110,"FT|SL","In play, out(s)","80.7","-21.63"
"235","J.T. Chargois",457708,"FT|SL","In play, out(s)","84.5","-21.19"
"236","J.T. Chargois",457708,"SL|SL","Called Strike","null","null"
"237","J.T. Chargois",457708,"SL|SL","Swinging Strike","null","null"
"241","J.T. Chargois",435079,"FT|SL","In play, out(s)","null","null"
"244","J.T. Chargois",430947,"FT|FT","Called Strike","null","null"
"248","J.T. Chargois",457727,"FT|SL","In play, out(s)","103.2","-0.5"
"250","J.T. Chargois",457727,"CH|FT","Swinging Strike","null","null"
"252","J.T. Chargois",456715,"FT|FT","Called Strike","null","null"
"253","J.T. Chargois",456715,"FT|FT","In play, no out","94.4","-7.86"
"262","J.T. Chargois",460077,"SL|SL","In play, out(s)","84.2","40.45"
"263","J.T. Chargois",460077,"SL|FF","Foul","null","null"
"265","J.T. Chargois",456715,"SL|FF","Foul","null","null"
"266","J.T. Chargois",456715,"FF|FF","Called Strike","null","null"
"272","J.T. Chargois",543333,"SL|FF","Foul","null","null"
"273","J.T. Chargois",543333,"FF|FT","Foul","null","null"
"274","J.T. Chargois",543333,"FT|FT","Foul","null","null"
"275","J.T. Chargois",543333,"FT|FF","Foul","null","null"
"277","J.T. Chargois",543333,"FT|FF","In play, run(s)","106.9","19.46"
"280","J.T. Chargois",434778,"FF|SL","Foul","null","null"
"283","J.T. Chargois",434778,"FF|FT","Foul","null","null"
"284","J.T. Chargois",434778,"FT|FT","Foul","null","null"
"289","J.T. Chargois",456715,"FT|FT","In play, no out","103.8","-7.17"
"290","J.T. Chargois",456715,"FT|FF","Called Strike","null","null"
"296","J.T. Chargois",596144,"FF|FF","In play, out(s)","92","-27.2"
"298","J.T. Chargois",456715,"SL|SL","Called Strike","null","null"
"299","J.T. Chargois",456715,"SL|SL","Foul","null","null"
"300","J.T. Chargois",456715,"SL|SL","Foul","null","null"
"302","J.T. Chargois",456715,"FF|FF","Swinging Strike (Blocked)","null","null"
"303","J.T. Chargois",456715,"FF|FT","Foul","null","null"
"306","J.T. Chargois",449181,"FF|SL","Foul","null","null"
"307","J.T. Chargois",449181,"SL|SL","In play, out(s)","90.3","6.2"
"308","J.T. Chargois",449181,"SL|FF","Called Strike","null","null"
"313","J.T. Chargois",608324,"FF|FF","Foul","null","null"
"317","J.T. Chargois",643393,"SL|FF","Called Strike","null","null"
"318","J.T. Chargois",643393,"FF|FF","Foul","null","null"
"320","J.T. Chargois",503556,"FF|FF","In play, no out","91.4","-1.95"
"325","J.T. Chargois",545350,"FF|FT","Foul","null","null"
"328","J.T. Chargois",545350,"FF|FF","Foul","null","null"
"332","J.T. Chargois",643603,"FF|FT","In play, out(s)","104.2","14.97"
"336","J.T. Chargois",456030,"FF|FF","Foul","null","null"
"337","J.T. Chargois",456030,"FF|FF","In play, out(s)","91.6","7.71"
"341","J.T. Chargois",120074,"FT|CH","Called Strike","null","null"
"342","J.T. Chargois",120074,"CH|FF","In play, no out","103.8","11.18"
"344","J.T. Chargois",434670,"SL|FF","In play, out(s)","77.1","-28.05"
"345","J.T. Chargois",434670,"FF|SL","Called Strike","null","null"
"347","J.T. Chargois",598265,"CH|CH","Called Strike","null","null"
"350","J.T. Chargois",455759,"SL|FF","In play, run(s)","99.4","3.74"
"354","J.T. Chargois",543768,"CH|FF","Foul","null","null"
"356","J.T. Chargois",543768,"CH|FF","Called Strike","null","null"
"361","J.T. Chargois",506702,"FF|FF","Called Strike","null","null"
"363","J.T. Chargois",506702,"CH|CH","Foul","null","null"
