"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"205","Jose Quintana",467793,"FF|FT","In play, out(s)","96.2","-10.34"
"208","Jose Quintana",543401,"FF|FT","In play, no out","98.9","10.66"
"210","Jose Quintana",449181,"FF|FF","In play, no out","100.4","20.51"
"213","Jose Quintana",543333,"CU|FF","Foul","null","null"
"214","Jose Quintana",543333,"FF|FF","Foul","null","null"
"215","Jose Quintana",543333,"FF|FF","In play, out(s)","73.7","0.06"
"217","Jose Quintana",434778,"CH|CH","In play, run(s)","109.1","-2.2"
"219","Jose Quintana",521692,"FT|FF","In play, out(s)","88.7","55.72"
"223","Jose Quintana",641531,"FF|FF","Called Strike","null","null"
"224","Jose Quintana",641531,"FF|FF","Foul","null","null"
"225","Jose Quintana",641531,"FF|FF","Foul","null","null"
"228","Jose Quintana",641531,"FF|FF","Foul","null","null"
"231","Jose Quintana",593160,"FF|CH","Swinging Strike","null","null"
"233","Jose Quintana",593160,"FF|FF","In play, run(s)","102.8","10.18"
"235","Jose Quintana",449181,"CU|CU","Foul","null","null"
"245","Jose Quintana",460086,"FT|FT","Foul","null","null"
"250","Jose Quintana",596144,"FF|CH","Called Strike","null","null"
"251","Jose Quintana",596144,"CH|FF","Foul","null","null"
"253","Jose Quintana",596144,"CU|FT","Foul","null","null"
"254","Jose Quintana",596144,"FT|CU","In play, no out","92.8","-12.35"
"256","Jose Quintana",641531,"FF|FF","In play, out(s)","null","null"
"259","Jose Quintana",593160,"CH|FF","In play, out(s)","103.7","2.32"
"263","Jose Quintana",449181,"CU|FF","In play, no out","110.3","15.15"
"265","Jose Quintana",543333,"CU|CU","Called Strike","null","null"
"266","Jose Quintana",543333,"CU|CU","Foul","null","null"
"267","Jose Quintana",543333,"CU|FF","In play, run(s)","103.6","8.2"
"271","Jose Quintana",521692,"CH|FF","In play, out(s)","89.3","60.01"
"274","Jose Quintana",460086,"CU|CU","Foul","null","null"
"275","Jose Quintana",460086,"CU|CU","Swinging Strike (Blocked)","null","null"
"278","Jose Quintana",434778,"CU|CU","Swinging Strike","null","null"
"280","Jose Quintana",434778,"CU|FF","In play, out(s)","100.5","-15.25"
"282","Jose Quintana",596144,"CH|FF","Foul","null","null"
"283","Jose Quintana",596144,"FF|CU","In play, out(s)","74","73.56"
"286","Jose Quintana",593160,"FF|FF","Foul","null","null"
"288","Jose Quintana",593160,"CU|CU","In play, no out","97.3","9.95"
"291","Jose Quintana",434658,"CU|FF","In play, out(s)","94.5","22.83"
"292","Jose Quintana",434658,"FF|FF","Foul","null","null"
"294","Jose Quintana",596019,"FF|FF","Called Strike","null","null"
"300","Jose Quintana",435063,"FF|FF","Called Strike","null","null"
"302","Jose Quintana",467793,"CU|FF","In play, out(s)","74.7","-8.14"
"305","Jose Quintana",608070,"CU|FF","Called Strike","null","null"
"306","Jose Quintana",608070,"FF|FF","Called Strike","null","null"
"309","Jose Quintana",446386,"CU|FF","Called Strike","null","null"
"311","Jose Quintana",501659,"FF|FF","Foul","null","null"
"312","Jose Quintana",501659,"FF|FF","Foul","null","null"
"313","Jose Quintana",501659,"FF|CU","Foul","null","null"
"315","Jose Quintana",547379,"FF|FF","In play, no out","102.5","-14.02"
"316","Jose Quintana",547379,"FF|FF","Called Strike","null","null"
"319","Jose Quintana",435063,"CH|FF","Called Strike","null","null"
"320","Jose Quintana",435063,"FF|FF","Swinging Strike","null","null"
"321","Jose Quintana",435063,"FF|FF","Called Strike","null","null"
"323","Jose Quintana",467793,"CU|CH","In play, out(s)","null","null"
"324","Jose Quintana",467793,"CH|FF","Called Strike","null","null"
"328","Jose Quintana",446386,"FF|FF","Foul","null","null"
"330","Jose Quintana",501659,"CU|FF","In play, out(s)","71.2","40.03"
"331","Jose Quintana",501659,"FF|FT","Foul","null","null"
"335","Jose Quintana",547379,"CU|FF","Foul","null","null"
"338","Jose Quintana",547379,"FF|FF","Called Strike","null","null"
"339","Jose Quintana",547379,"FF|FT","Called Strike","null","null"
"342","Jose Quintana",434658,"FF|FF","Foul","null","null"
"344","Jose Quintana",434658,"FF|FT","In play, out(s)","82.5","20.98"
"346","Jose Quintana",543401,"FF|CU","In play, no out","84.9","13.53"
"348","Jose Quintana",596019,"FT|CU","Swinging Strike (Blocked)","null","null"
"349","Jose Quintana",596019,"CU|FF","Called Strike","null","null"
"352","Jose Quintana",435063,"CH|FT","Called Strike","null","null"
"353","Jose Quintana",435063,"FT|FF","Called Strike","null","null"
"354","Jose Quintana",435063,"FF|FF","Swinging Strike","null","null"
"357","Jose Quintana",501659,"CU|FF","Foul","null","null"
"358","Jose Quintana",501659,"FF|FT","Called Strike","null","null"
"359","Jose Quintana",501659,"FT|FT","In play, out(s)","82.1","7.37"
"361","Jose Quintana",547379,"FT|CU","Called Strike","null","null"
"362","Jose Quintana",547379,"CU|FT","In play, out(s)","78.7","48.14"
"364","Jose Quintana",547379,"FF|FF","Foul","null","null"
"369","Jose Quintana",596019,"FT|FF","In play, out(s)","87.8","27.17"
"370","Jose Quintana",596019,"FF|FF","Called Strike","null","null"
"373","Jose Quintana",543401,"FT|FT","In play, out(s)","null","null"
"377","Jose Quintana",446386,"FF|FT","Called Strike","null","null"
"378","Jose Quintana",446386,"FT|FF","In play, out(s)","85.1","-17.86"
"383","Jose Quintana",608070,"FF|FT","In play, out(s)","104.9","1.54"
"387","Jose Quintana",467793,"FT|FT","In play, no out","109.8","11.33"
"389","Jose Quintana",543401,"CU|CU","Called Strike","null","null"
"391","Jose Quintana",400121,"FT|CU","Called Strike","null","null"
"393","Jose Quintana",400121,"CH|FT","In play, no out","86.5","9.5"
"395","Jose Quintana",431171,"FT|CU","Foul","null","null"
"399","Jose Quintana",435079,"FF|FT","Called Strike","null","null"
"400","Jose Quintana",435079,"FT|FF","In play, out(s)","81.8","6.46"
"401","Jose Quintana",435079,"FF|FF","Called Strike","null","null"
"403","Jose Quintana",435079,"CH|FT","Foul","null","null"
"406","Jose Quintana",457727,"FF|FF","Called Strike","null","null"
"407","Jose Quintana",457727,"FF|FF","Foul","null","null"
"410","Jose Quintana",408234,"FT|CH","Foul","null","null"
"411","Jose Quintana",408234,"CH|FT","Swinging Strike","null","null"
"412","Jose Quintana",408234,"FT|FT","Foul","null","null"
"415","Jose Quintana",408234,"FF|FT","Foul","null","null"
"418","Jose Quintana",502110,"CU|FF","In play, out(s)","69.4","48.13"
"420","Jose Quintana",457708,"FF|FT","Foul","null","null"
"421","Jose Quintana",457708,"FT|FT","Called Strike","null","null"
"422","Jose Quintana",457708,"FT|FT","Called Strike","null","null"
"424","Jose Quintana",543510,"CU|CU","Called Strike","null","null"
"425","Jose Quintana",543510,"CU|FF","In play, out(s)","89.6","1.41"
"427","Jose Quintana",431171,"FF|FT","Called Strike","null","null"
"429","Jose Quintana",431171,"CU|CU","Swinging Strike (Blocked)","null","null"
"430","Jose Quintana",431171,"CU|FT","Foul","null","null"
"431","Jose Quintana",431171,"FT|FT","Foul","null","null"
"433","Jose Quintana",457727,"FF|FF","Foul","null","null"
"435","Jose Quintana",457727,"CU|FF","Called Strike","null","null"
"436","Jose Quintana",457727,"FF|CU","Swinging Strike","null","null"
"438","Jose Quintana",457727,"FT|FT","Called Strike","null","null"
"444","Jose Quintana",408234,"FF|FF","Foul","null","null"
"449","Jose Quintana",502110,"FF|FF","Called Strike","null","null"
"451","Jose Quintana",502110,"CU|FF","Foul","null","null"
"452","Jose Quintana",502110,"FF|CU","Foul","null","null"
"455","Jose Quintana",457708,"FF|FT","Foul","null","null"
"456","Jose Quintana",457708,"FT|FF","Called Strike","null","null"
"457","Jose Quintana",457708,"FF|FT","Called Strike","null","null"
"460","Jose Quintana",543510,"FT|FF","Foul","null","null"
"462","Jose Quintana",543510,"CU|FF","Foul","null","null"
"465","Jose Quintana",408234,"FF|FF","In play, out(s)","null","null"
"466","Jose Quintana",408234,"FF|FF","Called Strike","null","null"
"468","Jose Quintana",578428,"FT|FF","Called Strike","null","null"
"469","Jose Quintana",578428,"FF|CU","In play, out(s)","null","null"
"471","Jose Quintana",578428,"FT|FF","Called Strike","null","null"
"472","Jose Quintana",578428,"FF|CU","In play, run(s)","98.7","19.34"
"476","Jose Quintana",543510,"FF|CU","Foul","null","null"
"478","Jose Quintana",543510,"FF|FF","Foul","null","null"
"480","Jose Quintana",543510,"FF|FF","In play, no out","106.3","12.62"
"482","Jose Quintana",457708,"FT|CU","In play, run(s)","102.8","25.2"
"483","Jose Quintana",457708,"CU|FF","Called Strike","null","null"
"486","Jose Quintana",400121,"FF|FT","Foul","null","null"
"487","Jose Quintana",400121,"FT|FF","Foul","null","null"
"488","Jose Quintana",400121,"FF|FF","Swinging Strike","null","null"
"489","Jose Quintana",400121,"FF|FT","Called Strike","null","null"
"491","Jose Quintana",400121,"CU|CU","In play, out(s)","68.7","-0.73"
"493","Jose Quintana",457727,"FF|FF","Called Strike","null","null"
"498","Jose Quintana",431171,"FT|CU","Called Strike","null","null"
"499","Jose Quintana",431171,"CU|FT","Foul","null","null"
"500","Jose Quintana",431171,"FT|FF","In play, no out","72.5","22.31"
"503","Jose Quintana",502110,"CU|CU","Foul","null","null"
"505","Jose Quintana",502110,"CH|FF","In play, no out","84.4","14.31"
"507","Jose Quintana",408045,"CU|FT","Called Strike","null","null"
"508","Jose Quintana",408045,"FT|FT","Called Strike","null","null"
"512","Jose Quintana",461858,"CU|CU","Swinging Strike","null","null"
"513","Jose Quintana",461858,"CU|FF","Called Strike","null","null"
"515","Jose Quintana",593934,"CH|FF","Called Strike","null","null"
"516","Jose Quintana",593934,"FF|CU","Swinging Strike","null","null"
"517","Jose Quintana",593934,"CU|CH","Called Strike","null","null"
"521","Jose Quintana",596146,"CU|FF","Foul","null","null"
"522","Jose Quintana",596146,"FF|CU","Called Strike","null","null"
"523","Jose Quintana",596146,"CU|FT","Called Strike","null","null"
"525","Jose Quintana",572821,"CH|FF","Foul","null","null"
"526","Jose Quintana",572821,"FF|CU","Swinging Strike","null","null"
"527","Jose Quintana",572821,"CU|FF","Called Strike","null","null"
"528","Jose Quintana",572821,"FF|FF","Foul","null","null"
"530","Jose Quintana",408045,"FF|FT","In play, no out","102","0.33"
"533","Jose Quintana",572821,"CU|CU","Swinging Strike","null","null"
"534","Jose Quintana",572821,"CU|FT","Called Strike","null","null"
"537","Jose Quintana",461858,"FT|FF","Called Strike","null","null"
"538","Jose Quintana",461858,"FF|FF","Called Strike","null","null"
"540","Jose Quintana",572821,"CH|CU","Foul","null","null"
"541","Jose Quintana",572821,"CU|FT","Swinging Strike","null","null"
"542","Jose Quintana",572821,"FT|CH","Swinging Strike","null","null"
"545","Jose Quintana",593934,"FF|CU","In play, out(s)","71.6","78.84"
"546","Jose Quintana",593934,"CU|CU","Called Strike","null","null"
"549","Jose Quintana",592696,"CU|CU","In play, out(s)","69.4","-30.11"
"550","Jose Quintana",592696,"CU|CU","Called Strike","null","null"
"552","Jose Quintana",593934,"FT|FF","Foul","null","null"
"553","Jose Quintana",593934,"FF|FF","In play, out(s)","83.7","55.28"
"558","Jose Quintana",621439,"CU|CU","Foul","null","null"
"560","Jose Quintana",621439,"FF|CU","Foul","null","null"
"561","Jose Quintana",621439,"CU|FF","Called Strike","null","null"
"562","Jose Quintana",621439,"FF|CU","In play, run(s)","97.3","34.63"
"564","Jose Quintana",461858,"CH|FT","In play, run(s)","102.5","28.94"
"567","Jose Quintana",435559,"FF|FF","Foul","null","null"
"568","Jose Quintana",435559,"FF|FT","Foul","null","null"
"570","Jose Quintana",435559,"CU|CU","Swinging Strike","null","null"
"571","Jose Quintana",435559,"CU|CU","Foul","null","null"
"573","Jose Quintana",435559,"FT|CU","In play, run(s)","87.2","18.79"
"577","Jose Quintana",596146,"CU|FT","Called Strike","null","null"
"578","Jose Quintana",596146,"FT|FF","In play, no out","72.5","16.76"
"581","Jose Quintana",621439,"FT|FT","In play, out(s)","99.9","48.44"
"584","Jose Quintana",435559,"FF|FT","In play, out(s)","88.1","33.8"
"589","Jose Quintana",592696,"CU|FT","In play, no out","75.5","21.39"
"595","Jose Quintana",443558,"FF|FF","Swinging Strike","null","null"
"597","Jose Quintana",572122,"FT|CU","Called Strike","null","null"
"598","Jose Quintana",572122,"CU|CU","Swinging Strike","null","null"
"599","Jose Quintana",572122,"CU|FF","Called Strike","null","null"
"603","Jose Quintana",429711,"FT|FF","Called Strike","null","null"
"604","Jose Quintana",429711,"FF|CU","In play, out(s)","null","null"
"606","Jose Quintana",493193,"FT|FF","Called Strike","null","null"
"608","Jose Quintana",493193,"CH|FT","Called Strike","null","null"
"610","Jose Quintana",606466,"FF|FF","Foul","null","null"
"611","Jose Quintana",606466,"FF|CU","In play, out(s)","82.2","21.75"
"612","Jose Quintana",606466,"CU|FF","Called Strike","null","null"
"616","Jose Quintana",628338,"FT|FF","Called Strike","null","null"
"619","Jose Quintana",628338,"CU|FT","Called Strike","null","null"
"621","Jose Quintana",429664,"CU|FT","In play, out(s)","97.4","-21.47"
"622","Jose Quintana",429664,"FT|CU","Called Strike","null","null"
"625","Jose Quintana",572122,"CU|CU","Called Strike","null","null"
"627","Jose Quintana",572122,"FF|FT","Called Strike","null","null"
"629","Jose Quintana",429711,"CU|CU","Swinging Strike","null","null"
"630","Jose Quintana",429711,"CU|FF","Called Strike","null","null"
"635","Jose Quintana",455104,"CU|CU","Foul","null","null"
"638","Jose Quintana",455104,"FF|FF","Called Strike","null","null"
"640","Jose Quintana",455104,"FF|FT","Foul","null","null"
"642","Jose Quintana",628338,"FF|CU","Foul","null","null"
"644","Jose Quintana",628338,"CU|FT","Foul","null","null"
"645","Jose Quintana",628338,"FT|FF","Foul","null","null"
"647","Jose Quintana",628338,"FF|FT","In play, run(s)","91.8","2.93"
"649","Jose Quintana",443558,"FT|CU","Swinging Strike","null","null"
"650","Jose Quintana",443558,"CU|FF","In play, out(s)","104.6","-15.53"
"652","Jose Quintana",429711,"CU|FT","In play, out(s)","95","6.53"
"653","Jose Quintana",429711,"FT|FF","Called Strike","null","null"
"657","Jose Quintana",493193,"CU|FF","Called Strike","null","null"
"658","Jose Quintana",493193,"FF|FF","Called Strike","null","null"
"659","Jose Quintana",493193,"FF|FF","Swinging Strike","null","null"
"661","Jose Quintana",455104,"FF|CH","Foul","null","null"
"664","Jose Quintana",455104,"FF|FF","Foul","null","null"
"667","Jose Quintana",547982,"CU|CU","Swinging Strike (Blocked)","null","null"
"668","Jose Quintana",547982,"CU|CU","Swinging Strike","null","null"
"671","Jose Quintana",628338,"FF|FT","In play, out(s)","92.2","-19.59"
"674","Jose Quintana",547982,"FT|CU","Swinging Strike","null","null"
"675","Jose Quintana",547982,"CU|CU","In play, out(s)","78.6","4.51"
"676","Jose Quintana",547982,"CU|FF","Called Strike","null","null"
"682","Jose Quintana",606466,"FF|FF","Called Strike","null","null"
"683","Jose Quintana",606466,"FF|FF","In play, no out","97.9","10.89"
"685","Jose Quintana",429664,"FT|FF","Foul","null","null"
"688","Jose Quintana",429664,"FT|CU","Swinging Strike","null","null"
"689","Jose Quintana",429664,"CU|FT","In play, out(s)","85.3","-11.81"
"692","Jose Quintana",443558,"FT|FF","In play, no out","109.2","0.57"
"693","Jose Quintana",443558,"FF|FF","Foul","null","null"
"698","Jose Quintana",475174,"CU|FF","Called Strike","null","null"
"699","Jose Quintana",475174,"FF|FF","In play, out(s)","82.9","52.45"
"702","Jose Quintana",640461,"CU|FT","In play, no out","97.7","-10.3"
"705","Jose Quintana",622194,"CU|FF","Foul","null","null"
"706","Jose Quintana",622194,"FF|FT","Swinging Strike","null","null"
"711","Jose Quintana",519295,"FT|CU","Called Strike","null","null"
"715","Jose Quintana",424825,"FF|FF","Called Strike","null","null"
"717","Jose Quintana",543760,"FF|FF","In play, no out","103.1","9.76"
"720","Jose Quintana",501981,"CU|FF","Swinging Strike","null","null"
"721","Jose Quintana",501981,"FF|FF","Swinging Strike","null","null"
"722","Jose Quintana",501981,"FF|FF","Foul","null","null"
"725","Jose Quintana",592387,"CU|FT","Foul","null","null"
"726","Jose Quintana",592387,"FT|FF","In play, out(s)","108.1","15.3"
"731","Jose Quintana",518649,"FF|FF","Foul","null","null"
"733","Jose Quintana",518649,"FF|FF","Called Strike","null","null"
"735","Jose Quintana",518649,"FF|FT","In play, no out","99.7","5.65"
"738","Jose Quintana",640461,"CU|FF","Called Strike","null","null"
"739","Jose Quintana",640461,"FF|FF","Swinging Strike","null","null"
"743","Jose Quintana",424825,"FT|FT","Foul","null","null"
"744","Jose Quintana",424825,"FT|FF","Called Strike","null","null"
"745","Jose Quintana",424825,"FF|FF","Foul","null","null"
"746","Jose Quintana",424825,"FF|FT","Called Strike","null","null"
"748","Jose Quintana",519295,"CU|CU","Called Strike","null","null"
"750","Jose Quintana",543760,"CU|FF","In play, no out","98.3","23.12"
"751","Jose Quintana",543760,"FF|CU","Called Strike","null","null"
"754","Jose Quintana",501981,"FF|FF","Foul","null","null"
"755","Jose Quintana",501981,"FF|FF","Called Strike","null","null"
"757","Jose Quintana",501981,"CU|FF","In play, run(s)","107.5","25.55"
"759","Jose Quintana",592387,"CH|CU","In play, out(s)","80.8","44.92"
"760","Jose Quintana",592387,"CU|CU","Called Strike","null","null"
"761","Jose Quintana",592387,"CU|FT","Foul","null","null"
"763","Jose Quintana",518649,"FT|FF","Foul","null","null"
"765","Jose Quintana",475174,"CU|FF","Swinging Strike","null","null"
"766","Jose Quintana",475174,"FF|CU","Called Strike","null","null"
"770","Jose Quintana",424825,"CU|FF","In play, no out","98.2","-5.15"
"774","Jose Quintana",543760,"CH|CU","In play, out(s)","76.9","23.58"
"778","Jose Quintana",501981,"CH|FF","Called Strike","null","null"
"780","Jose Quintana",501981,"FF|FF","Swinging Strike","null","null"
"782","Jose Quintana",592387,"CU|FT","In play, out(s)","83.4","-0.95"
"785","Jose Quintana",518649,"FF|CU","Called Strike","null","null"
"788","Jose Quintana",519295,"CH|FF","Called Strike","null","null"
"790","Jose Quintana",622194,"FT|FF","Foul","null","null"
"792","Jose Quintana",622194,"FT|FT","Called Strike","null","null"
"794","Jose Quintana",622194,"CU|FT","In play, out(s)","101.1","-18.56"
"796","Jose Quintana",467793,"FF|CU","Called Strike","null","null"
"799","Jose Quintana",446386,"CU|FF","Foul (Runner Going)","null","null"
"800","Jose Quintana",446386,"FF|FT","In play, out(s)","93","-16.5"
"802","Jose Quintana",446386,"CH|FF","Foul (Runner Going)","null","null"
"804","Jose Quintana",501659,"CU|FT","Foul","null","null"
"809","Jose Quintana",501659,"FF|FF","Swinging Strike","null","null"
"814","Jose Quintana",547379,"FT|FF","Called Strike","null","null"
"816","Jose Quintana",543401,"CU|FF","Called Strike","null","null"
"819","Jose Quintana",596019,"FF|FF","Called Strike","null","null"
"821","Jose Quintana",596019,"CH|CU","In play, out(s)","64.3","38.86"
"823","Jose Quintana",435063,"CH|FT","Swinging Strike","null","null"
"824","Jose Quintana",435063,"FT|FF","Foul","null","null"
"825","Jose Quintana",435063,"FF|CU","In play, out(s)","87.5","48.17"
"827","Jose Quintana",435063,"FF|FF","Foul","null","null"
"828","Jose Quintana",435063,"FF|FT","Foul","null","null"
"831","Jose Quintana",435063,"FF|CU","Swinging Strike (Blocked)","null","null"
"833","Jose Quintana",435063,"CU|CU","Called Strike","null","null"
"835","Jose Quintana",467793,"CH|FT","Foul","null","null"
"837","Jose Quintana",467793,"CU|FF","In play, out(s)","null","null"
