"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"911","Jose Quintana",521692,"CU|CU","Swinging Strike (Blocked)","null","null"
"912","Jose Quintana",521692,"CU|FF","Called Strike","null","null"
"914","Jose Quintana",460086,"FT|FF","Foul","null","null"
"916","Jose Quintana",444876,"FF|FT","In play, out(s)","80.7","55.44"
"918","Jose Quintana",609275,"FF|CH","In play, no out","null","null"
"919","Jose Quintana",609275,"CH|FF","Called Strike","null","null"
"922","Jose Quintana",449181,"FF|FF","Foul","null","null"
"923","Jose Quintana",449181,"FF|FF","Foul","null","null"
"924","Jose Quintana",449181,"FF|FF","Foul","null","null"
"925","Jose Quintana",449181,"FF|FF","Swinging Strike","null","null"
"928","Jose Quintana",456715,"FF|CU","Foul","null","null"
"929","Jose Quintana",456715,"CU|CU","Swinging Strike","null","null"
"930","Jose Quintana",456715,"CU|FF","Called Strike","null","null"
"934","Jose Quintana",543333,"FF|FF","Foul","null","null"
"935","Jose Quintana",543333,"FF|FF","In play, out(s)","86.7","5.16"
"938","Jose Quintana",434778,"CU|FF","Called Strike","null","null"
"940","Jose Quintana",521692,"FF|CU","Foul","null","null"
"942","Jose Quintana",521692,"FF|FF","Called Strike","null","null"
"943","Jose Quintana",521692,"FF|FF","Called Strike","null","null"
"944","Jose Quintana",521692,"FF|FF","Foul","null","null"
"946","Jose Quintana",521692,"CU|FF","Foul (Runner Going)","null","null"
"950","Jose Quintana",460086,"FF|CU","Called Strike","null","null"
"954","Jose Quintana",609275,"CU|FF","Swinging Strike","null","null"
"955","Jose Quintana",609275,"FF|CH","Foul","null","null"
"958","Jose Quintana",596144,"FF|FF","Foul","null","null"
"959","Jose Quintana",596144,"FF|CH","In play, out(s)","null","null"
"960","Jose Quintana",596144,"CH|FF","Called Strike","null","null"
"964","Jose Quintana",434778,"FF|CU","In play, out(s)","78.6","-1.44"
"965","Jose Quintana",434778,"CU|FF","Called Strike","null","null"
"967","Jose Quintana",521692,"FF|FF","Called Strike","null","null"
"968","Jose Quintana",521692,"FF|CU","In play, no out","87.8","16.92"
"970","Jose Quintana",444876,"FT|CU","In play, out(s)","97.7","15.53"
"976","Jose Quintana",596144,"FF|CU","In play, out(s)","80.6","46.54"
"977","Jose Quintana",596144,"CU|CH","Called Strike","null","null"
"980","Jose Quintana",543333,"CU|CU","In play, out(s)","91.9","30.62"
"982","Jose Quintana",543333,"CU|FF","Swinging Strike","null","null"
"986","Jose Quintana",456715,"CU|FT","Foul","null","null"
"987","Jose Quintana",456715,"FT|FF","In play, out(s)","78.5","7.03"
"988","Jose Quintana",456715,"FF|CU","Called Strike","null","null"
"992","Jose Quintana",460086,"CU|FT","In play, out(s)","76.8","-27.21"
"994","Jose Quintana",460086,"FF|FF","Foul","null","null"
"998","Jose Quintana",435079,"CH|CU","In play, run(s)","101.9","34.38"
"999","Jose Quintana",435079,"CU|FF","Called Strike","null","null"
"1002","Jose Quintana",408234,"FT|FF","In play, no out","72.5","33.88"
"1008","Jose Quintana",607385,"FF|FT","In play, out(s)","99.2","5.57"
"1009","Jose Quintana",607385,"FT|FF","Called Strike","null","null"
"1015","Jose Quintana",457454,"FT|FF","Called Strike","null","null"
"1019","Jose Quintana",435079,"CU|FF","In play, out(s)","77.2","59"
"1020","Jose Quintana",435079,"FF|FF","Called Strike","null","null"
"1023","Jose Quintana",408234,"CU|FT","Called Strike","null","null"
"1024","Jose Quintana",408234,"FT|FF","Called Strike","null","null"
"1025","Jose Quintana",408234,"FF|CU","Foul","null","null"
"1027","Jose Quintana",592206,"FF|FF","Foul","null","null"
"1028","Jose Quintana",592206,"FF|CU","In play, out(s)","96.8","34.48"
"1029","Jose Quintana",592206,"CU|FF","Called Strike","null","null"
"1030","Jose Quintana",592206,"FF|CU","Foul","null","null"
"1031","Jose Quintana",592206,"CU|CU","Foul","null","null"
"1035","Jose Quintana",457708,"FT|FT","Swinging Strike","null","null"
"1036","Jose Quintana",457708,"FT|FF","Called Strike","null","null"
"1037","Jose Quintana",457708,"FF|CH","Foul","null","null"
"1039","Jose Quintana",607385,"FF|CU","Foul","null","null"
"1040","Jose Quintana",607385,"CU|FF","Called Strike","null","null"
"1042","Jose Quintana",457454,"CU|FF","Called Strike","null","null"
"1044","Jose Quintana",435079,"FF|FT","Called Strike","null","null"
"1045","Jose Quintana",435079,"FT|FF","Called Strike","null","null"
"1046","Jose Quintana",435079,"FF|CH","Called Strike","null","null"
"1050","Jose Quintana",408234,"FF|FT","In play, out(s)","88","-6.89"
"1051","Jose Quintana",408234,"FT|FF","Called Strike","null","null"
"1052","Jose Quintana",408234,"FF|FT","Foul","null","null"
"1054","Jose Quintana",592206,"CH|FT","Foul","null","null"
"1055","Jose Quintana",592206,"FT|CH","Foul","null","null"
"1056","Jose Quintana",592206,"CH|CU","Called Strike","null","null"
"1057","Jose Quintana",592206,"CU|FT","In play, out(s)","83","29.55"
"1060","Jose Quintana",502110,"FF|FF","Foul","null","null"
"1062","Jose Quintana",502110,"CU|FF","In play, no out","94.1","10.81"
"1063","Jose Quintana",502110,"FF|CU","Swinging Strike","null","null"
"1064","Jose Quintana",502110,"CU|FF","Foul","null","null"
"1067","Jose Quintana",607385,"FF|FF","Foul","null","null"
"1068","Jose Quintana",607385,"FF|CU","In play, run(s)","68.4","22.2"
"1071","Jose Quintana",461865,"CH|FF","Foul","null","null"
"1073","Jose Quintana",578428,"CU|FF","Called Strike","null","null"
"1075","Jose Quintana",408234,"FF|FT","Foul","null","null"
"1076","Jose Quintana",408234,"FT|FF","Foul","null","null"
"1078","Jose Quintana",408234,"CU|CU","In play, run(s)","100.4","27.13"
"1080","Jose Quintana",502110,"CU|CU","Called Strike","null","null"
"1082","Jose Quintana",578428,"FF|FF","Called Strike","null","null"
"1084","Jose Quintana",461865,"FF|FF","Foul","null","null"
"1088","Jose Quintana",435079,"FF|FF","In play, out(s)","83.4","45.42"
"1091","Jose Quintana",572821,"FF|CH","In play, no out","94.8","25.27"
"1094","Jose Quintana",543257,"FF|FF","In play, no out","89.7","-4.66"
"1096","Jose Quintana",593934,"FF|FF","Swinging Strike","null","null"
"1097","Jose Quintana",593934,"FF|FT","Foul","null","null"
"1099","Jose Quintana",593934,"CU|CU","Swinging Strike (Blocked)","null","null"
"1103","Jose Quintana",573627,"FT|FF","Called Strike","null","null"
"1104","Jose Quintana",573627,"FF|FF","Called Strike","null","null"
"1105","Jose Quintana",573627,"FF|FT","Called Strike","null","null"
"1107","Jose Quintana",596146,"FF|FT","Foul","null","null"
"1110","Jose Quintana",596146,"FT|CU","Swinging Strike","null","null"
"1112","Jose Quintana",500871,"FF|FT","In play, no out","null","null"
"1115","Jose Quintana",435559,"FF|FF","Swinging Strike","null","null"
"1117","Jose Quintana",435559,"FT|FT","Foul","null","null"
"1118","Jose Quintana",435559,"FT|CU","Foul","null","null"
"1120","Jose Quintana",435559,"FT|FF","In play, out(s)","78.3","12.23"
"1122","Jose Quintana",572821,"CU|CU","Called Strike","null","null"
"1123","Jose Quintana",572821,"CU|FF","Foul","null","null"
"1124","Jose Quintana",572821,"FF|FT","In play, out(s)","null","null"
"1127","Jose Quintana",543257,"FF|FT","Called Strike","null","null"
"1128","Jose Quintana",543257,"FT|CU","Called Strike","null","null"
"1129","Jose Quintana",543257,"CU|FT","In play, out(s)","71.9","45.63"
"1131","Jose Quintana",593934,"FF|FF","Called Strike","null","null"
"1134","Jose Quintana",593934,"FT|FT","Called Strike","null","null"
"1136","Jose Quintana",573627,"CU|CU","Foul","null","null"
"1140","Jose Quintana",573627,"FT|FF","Foul","null","null"
"1143","Jose Quintana",500871,"CU|CU","Called Strike","null","null"
"1144","Jose Quintana",500871,"CU|CH","In play, out(s)","60.3","-21.54"
"1146","Jose Quintana",592696,"FT|FT","Foul","null","null"
"1147","Jose Quintana",592696,"FT|FT","Foul","null","null"
"1149","Jose Quintana",592696,"FF|CU","Foul","null","null"
"1150","Jose Quintana",592696,"CU|CU","Foul","null","null"
"1151","Jose Quintana",592696,"CU|FF","Swinging Strike","null","null"
"1153","Jose Quintana",435559,"CU|FF","Foul","null","null"
"1154","Jose Quintana",435559,"FF|FF","Foul","null","null"
"1156","Jose Quintana",435559,"CH|CU","Swinging Strike","null","null"
"1161","Jose Quintana",621439,"FF|FT","In play, out(s)","95.3","61.53"
"1163","Jose Quintana",572821,"null|FF","Foul","null","null"
"1164","Jose Quintana",572821,"FF|FF","In play, no out","65","-45.6"
"1166","Jose Quintana",543257,"FT|FT","Foul","null","null"
"1167","Jose Quintana",543257,"FT|CU","Foul","null","null"
"1170","Jose Quintana",573627,"null|FF","Foul","null","null"
"1171","Jose Quintana",573627,"FF|FF","In play, run(s)","60.3","31.5"
"1173","Jose Quintana",500871,"FF|FF","Foul","null","null"
"1175","Jose Quintana",500871,"CU|CU","Swinging Strike (Blocked)","null","null"
"1179","Jose Quintana",592696,"FT|FT","Foul","null","null"
"1180","Jose Quintana",592696,"FT|FT","Called Strike","null","null"
"1183","Jose Quintana",435559,"CU|FF","In play, out(s)","null","null"
"1187","Jose Quintana",621439,"FF|FF","In play, no out","101","10.14"
"1189","Jose Quintana",596146,"CU|CU","Swinging Strike","null","null"
"1190","Jose Quintana",596146,"CU|FT","Called Strike","null","null"
"1191","Jose Quintana",596146,"FT|CU","In play, no out","71.8","-7.84"
"1192","Jose Quintana",596146,"CU|FT","Foul","null","null"
"1193","Jose Quintana",596146,"FT|FF","Foul","null","null"
"1194","Jose Quintana",596146,"FF|FT","In play, out(s)","95.9","5.3"
"1196","Jose Quintana",621439,"CU|FF","Foul","null","null"
"1198","Jose Quintana",621439,"FF|FT","Foul","null","null"
"1200","Jose Quintana",621439,"FF|FT","Foul (Runner Going)","null","null"
"1201","Jose Quintana",621439,"FT|FT","In play, out(s)","94.2","56.6"
"1204","Jose Quintana",578428,"FF|FT","Foul","null","null"
"1206","Jose Quintana",578428,"FF|FF","Called Strike","null","null"
"1209","Jose Quintana",578428,"CU|FF","In play, out(s)","98.9","-3.75"
"1211","Jose Quintana",408234,"FF|FT","Foul","null","null"
"1213","Jose Quintana",408234,"CU|CU","Foul","null","null"
"1214","Jose Quintana",408234,"CU|FF","Foul","null","null"
"1215","Jose Quintana",408234,"FF|FT","Called Strike","null","null"
"1216","Jose Quintana",408234,"FT|FT","Swinging Strike","null","null"
"1218","Jose Quintana",408234,"FF|FT","Foul","null","null"
"1221","Jose Quintana",400121,"CU|FT","Called Strike","null","null"
"1223","Jose Quintana",592206,"FT|FF","Foul","null","null"
"1224","Jose Quintana",592206,"FF|FF","Swinging Strike","null","null"
"1226","Jose Quintana",592206,"FT|FT","Called Strike","null","null"
"1228","Jose Quintana",457708,"FT|CH","In play, out(s)","96.3","52.27"
"1229","Jose Quintana",457708,"CH|FT","Called Strike","null","null"
"1234","Jose Quintana",449107,"FF|FF","Foul","null","null"
"1235","Jose Quintana",449107,"FF|FF","In play, out(s)","104.2","3.47"
"1238","Jose Quintana",543510,"FT|FF","Called Strike","null","null"
"1241","Jose Quintana",543510,"FT|FT","In play, out(s)","105.2","13.42"
"1244","Jose Quintana",461865,"FT|FT","Foul","null","null"
"1245","Jose Quintana",461865,"FT|FT","Foul","null","null"
"1246","Jose Quintana",461865,"FT|FT","In play, out(s)","69.3","-29.46"
"1249","Jose Quintana",461865,"FT|FF","Foul","null","null"
"1251","Jose Quintana",578428,"FF|FF","Called Strike","null","null"
"1252","Jose Quintana",578428,"FF|FF","Foul","null","null"
"1254","Jose Quintana",578428,"FT|CU","In play, out(s)","94.3","27.64"
"1256","Jose Quintana",578428,"FF|FF","Foul","null","null"
"1257","Jose Quintana",578428,"FF|FF","Foul","null","null"
"1262","Jose Quintana",408234,"FF|FT","Foul","null","null"
"1266","Jose Quintana",457708,"FF|FT","Foul","null","null"
"1267","Jose Quintana",457708,"FT|CU","In play, out(s)","85.5","31.08"
"1268","Jose Quintana",457708,"CU|FF","Called Strike","null","null"
"1269","Jose Quintana",457708,"FF|FT","Called Strike","null","null"
"1271","Jose Quintana",449107,"FF|FT","In play, out(s)","101.5","-1.54"
"1272","Jose Quintana",449107,"FT|CU","Called Strike","null","null"
"1277","Jose Quintana",543510,"FF|CU","Called Strike","null","null"
"1278","Jose Quintana",543510,"CU|FT","Foul","null","null"
"1279","Jose Quintana",543510,"FT|FF","Swinging Strike","null","null"
"1283","Jose Quintana",461865,"FF|FF","Foul","null","null"
"1285","Jose Quintana",461865,"CU|FT","In play, out(s)","101.3","-15.33"
"1288","Jose Quintana",578428,"FF|FT","In play, no out","95.9","13.56"
"1289","Jose Quintana",578428,"FT|FF","Called Strike","null","null"
"1290","Jose Quintana",578428,"FF|FT","Foul","null","null"
"1293","Jose Quintana",408234,"FT|FF","Swinging Strike","null","null"
"1294","Jose Quintana",408234,"FF|FT","Called Strike","null","null"
"1298","Jose Quintana",592206,"FF|FF","In play, out(s)","100.6","24.7"
"1299","Jose Quintana",592206,"FF|CU","Foul","null","null"
"1300","Jose Quintana",592206,"CU|CH","Foul","null","null"
"1302","Jose Quintana",457708,"CH|FF","In play, no out","75.4","28.41"
"1303","Jose Quintana",457708,"FF|CH","Swinging Strike","null","null"
"1307","Jose Quintana",400121,"FT|FT","Foul","null","null"
"1308","Jose Quintana",400121,"FT|FT","In play, out(s)","null","null"
"1309","Jose Quintana",400121,"FT|FT","Foul","null","null"
"1310","Jose Quintana",400121,"FT|FF","Foul","null","null"
"1312","Jose Quintana",400121,"FT|CU","Foul","null","null"
"1315","Jose Quintana",435079,"CU|FT","Called Strike","null","null"
"1317","Jose Quintana",435079,"FF|CU","In play, out(s)","83","32.48"
"1318","Jose Quintana",435079,"CU|FF","In play, out(s)","83.7","49.36"
"1320","Jose Quintana",429711,"FT|FF","Swinging Strike","null","null"
"1321","Jose Quintana",429711,"FF|FF","In play, out(s)","83.6","-4.11"
"1325","Jose Quintana",502523,"CU|FF","Called Strike","null","null"
"1330","Jose Quintana",429711,"FF|FF","Called Strike","null","null"
"1331","Jose Quintana",429711,"FF|CU","Swinging Strike","null","null"
"1333","Jose Quintana",429664,"FF|FF","Called Strike","null","null"
"1334","Jose Quintana",429664,"FF|FT","Called Strike","null","null"
"1336","Jose Quintana",443558,"FT|FF","Called Strike","null","null"
"1339","Jose Quintana",443558,"FF|CH","Foul","null","null"
"1340","Jose Quintana",443558,"CH|FT","In play, no out","106.3","-12.76"
"1343","Jose Quintana",493193,"FF|FF","Foul","null","null"
"1344","Jose Quintana",493193,"FF|CU","Swinging Strike","null","null"
"1345","Jose Quintana",493193,"CU|CH","Called Strike","null","null"
"1347","Jose Quintana",572122,"FT|FF","Foul","null","null"
"1348","Jose Quintana",572122,"FF|CU","Swinging Strike","null","null"
"1349","Jose Quintana",572122,"CU|CU","Swinging Strike","null","null"
"1351","Jose Quintana",455104,"FF|FF","Foul","null","null"
"1352","Jose Quintana",455104,"FF|FF","Foul","null","null"
"1355","Jose Quintana",547982,"CU|FF","Foul","null","null"
"1356","Jose Quintana",547982,"FF|FF","Swinging Strike","null","null"
"1358","Jose Quintana",547982,"FT|FT","In play, out(s)","103.6","-12.42"
"1362","Jose Quintana",543706,"FF|CU","Called Strike","null","null"
"1363","Jose Quintana",543706,"CU|CU","In play, no out","91.2","15.45"
"1365","Jose Quintana",502523,"FF|FF","In play, out(s)","93.3","-27.89"
"1367","Jose Quintana",502523,"FT|FF","Called Strike","null","null"
"1370","Jose Quintana",443558,"FF|FF","Called Strike","null","null"
"1372","Jose Quintana",493193,"FF|FF","Foul","null","null"
"1373","Jose Quintana",493193,"FF|FF","Foul","null","null"
"1376","Jose Quintana",493193,"CU|FF","Foul","null","null"
"1377","Jose Quintana",493193,"FF|FF","Foul","null","null"
"1380","Jose Quintana",572122,"FF|FF","Foul","null","null"
"1383","Jose Quintana",455104,"CU|FT","In play, out(s)","97.7","1.21"
"1384","Jose Quintana",455104,"FT|CU","Called Strike","null","null"
"1386","Jose Quintana",455104,"CU|FT","Foul","null","null"
"1389","Jose Quintana",547982,"CU|FT","In play, out(s)","85.5","-1.67"
"1390","Jose Quintana",547982,"FT|FF","Foul","null","null"
"1393","Jose Quintana",543706,"FF|FF","Called Strike","null","null"
"1394","Jose Quintana",543706,"FF|FF","In play, no out","73.3","30.4"
"1398","Jose Quintana",502523,"FF|FF","Foul","null","null"
"1402","Jose Quintana",429711,"FT|FF","Called Strike","null","null"
"1404","Jose Quintana",429711,"FT|FT","In play, out(s)","103.4","17.01"
"1406","Jose Quintana",429664,"FF|CU","Swinging Strike","null","null"
"1407","Jose Quintana",429664,"CU|FF","Foul","null","null"
"1411","Jose Quintana",493193,"CU|CU","Called Strike","null","null"
"1412","Jose Quintana",493193,"CU|FT","Called Strike","null","null"
"1413","Jose Quintana",493193,"FT|FT","Called Strike","null","null"
"1419","Jose Quintana",455104,"CU|CU","Called Strike","null","null"
"1424","Jose Quintana",543706,"FF|FT","In play, out(s)","91.7","39.79"
"1429","Jose Quintana",488818,"FF|FF","Foul","null","null"
"1431","Jose Quintana",488818,"FF|FF","Called Strike","null","null"
"1432","Jose Quintana",488818,"FF|FF","Called Strike","null","null"
"1436","Jose Quintana",493596,"FT|CU","In play, run(s)","100.5","24.39"
"1437","Jose Quintana",493596,"CU|FF","Called Strike","null","null"
"1439","Jose Quintana",493596,"FF|FF","Foul","null","null"
"1442","Jose Quintana",455976,"FF|FT","In play, out(s)","99.3","3.15"
"1443","Jose Quintana",455976,"FT|FT","Called Strike","null","null"
"1446","Jose Quintana",425796,"CU|CU","Foul","null","null"
"1447","Jose Quintana",425796,"CU|CU","Swinging Strike","null","null"
"1448","Jose Quintana",425796,"CU|FF","Called Strike","null","null"
"1454","Jose Quintana",452095,"CU|FF","Called Strike","null","null"
"1456","Jose Quintana",452095,"FF|FF","In play, out(s)","100.3","-1.86"
"1458","Jose Quintana",430947,"FF|FF","Swinging Strike","null","null"
"1459","Jose Quintana",430947,"FF|FF","Called Strike","null","null"
"1460","Jose Quintana",430947,"FF|FF","Foul","null","null"
"1462","Jose Quintana",430947,"FT|CU","Foul","null","null"
"1464","Jose Quintana",542255,"CU|FF","Called Strike","null","null"
"1466","Jose Quintana",488818,"CU|FT","In play, out(s)","88.8","5.27"
"1468","Jose Quintana",488818,"FF|FF","Foul","null","null"
"1472","Jose Quintana",493596,"FF|FF","Called Strike","null","null"
"1475","Jose Quintana",518692,"FT|FF","Called Strike","null","null"
"1476","Jose Quintana",518692,"FF|FT","Foul","null","null"
"1479","Jose Quintana",518692,"FF|FT","Swinging Strike","null","null"
"1481","Jose Quintana",455976,"FT|FF","Called Strike","null","null"
"1485","Jose Quintana",611177,"CU|FF","Foul","null","null"
"1489","Jose Quintana",150229,"FT|FF","In play, out(s)","87","-24.26"
"1490","Jose Quintana",150229,"FF|FF","Called Strike","null","null"
"1494","Jose Quintana",542255,"FT|FF","Called Strike","null","null"
"1495","Jose Quintana",542255,"FF|FF","In play, out(s)","92.4","21.96"
"1500","Jose Quintana",488818,"CU|FF","Called Strike","null","null"
"1501","Jose Quintana",488818,"FF|CU","Called Strike","null","null"
"1503","Jose Quintana",493596,"FT|FF","Foul","null","null"
"1505","Jose Quintana",518692,"CH|FF","In play, run(s)","97.4","25.12"
"1506","Jose Quintana",518692,"FF|CU","Foul","null","null"
"1507","Jose Quintana",518692,"CU|CU","Foul","null","null"
"1513","Jose Quintana",425796,"CU|FF","Foul","null","null"
"1515","Jose Quintana",425796,"FT|FF","Foul","null","null"
"1516","Jose Quintana",425796,"FF|FF","In play, out(s)","100.7","-8.14"
"1518","Jose Quintana",430947,"CU|CU","Missed Bunt","null","null"
"1521","Jose Quintana",518692,"CU|FT","Foul","null","null"
"1522","Jose Quintana",518692,"FT|FF","Foul","null","null"
"1523","Jose Quintana",518692,"FF|CU","In play, out(s)","97","3.91"
"1526","Jose Quintana",503556,"FT|FT","Foul","null","null"
"1527","Jose Quintana",503556,"FT|CU","Swinging Strike","null","null"
"1528","Jose Quintana",503556,"CU|FF","Called Strike","null","null"
"1530","Jose Quintana",503556,"FT|FT","Foul","null","null"
"1535","Jose Quintana",594828,"FF|FT","Foul","null","null"
"1539","Jose Quintana",543807,"CH|FT","Foul","null","null"
"1540","Jose Quintana",543807,"FT|FT","Called Strike","null","null"
"1544","Jose Quintana",503556,"FT|FT","Swinging Strike","null","null"
"1545","Jose Quintana",503556,"FT|CU","Called Strike","null","null"
"1548","Jose Quintana",607223,"FT|FT","Called Strike","null","null"
"1549","Jose Quintana",607223,"FT|CU","Called Strike","null","null"
"1552","Jose Quintana",594828,"FF|CH","Called Strike","null","null"
"1553","Jose Quintana",594828,"CH|FT","Foul","null","null"
"1554","Jose Quintana",594828,"FT|FF","Foul","null","null"
"1557","Jose Quintana",594828,"FT|FT","Called Strike","null","null"
"1558","Jose Quintana",594828,"FT|CU","Swinging Strike","null","null"
"1561","Jose Quintana",460576,"FF|CU","In play, out(s)","82.5","73.84"
"1562","Jose Quintana",460576,"CU|FF","Foul","null","null"
"1563","Jose Quintana",460576,"FF|CU","Called Strike","null","null"
"1565","Jose Quintana",460576,"CU|FF","Called Strike","null","null"
"1566","Jose Quintana",460576,"FF|FT","Foul","null","null"
"1568","Jose Quintana",460576,"CU|FT","Called Strike","null","null"
"1570","Jose Quintana",460576,"FF|CU","In play, out(s)","83.8","78.08"
"1572","Jose Quintana",621043,"CU|FF","Foul","null","null"
"1573","Jose Quintana",621043,"FF|FT","Foul","null","null"
"1574","Jose Quintana",621043,"FT|FF","In play, out(s)","88","-11.52"
"1575","Jose Quintana",621043,"FF|FF","Called Strike","null","null"
"1576","Jose Quintana",621043,"FF|FF","Foul","null","null"
"1578","Jose Quintana",621043,"FT|CU","Foul","null","null"
"1583","Jose Quintana",543807,"FF|FT","Called Strike","null","null"
"1586","Jose Quintana",543807,"FF|FT","In play, out(s)","90.2","-4.1"
"1588","Jose Quintana",460576,"FT|FT","Called Strike","null","null"
"1592","Jose Quintana",488771,"FT|CU","Called Strike","null","null"
"1593","Jose Quintana",488771,"CU|CU","In play, no out","100","19.63"
"1597","Jose Quintana",514888,"FT|FF","Called Strike","null","null"
"1600","Jose Quintana",607223,"FT|CU","Called Strike","null","null"
"1601","Jose Quintana",607223,"CU|CU","Called Strike","null","null"
"1602","Jose Quintana",607223,"CU|FT","In play, out(s)","99.6","24.96"
"1605","Jose Quintana",488771,"CH|FT","In play, out(s)","81.9","47.58"
"1609","Jose Quintana",621043,"CH|FT","Foul","null","null"
"1610","Jose Quintana",621043,"FT|FT","In play, out(s)","90.6","33.81"
"1613","Jose Quintana",514888,"CH|CH","In play, out(s)","95.8","22.01"
"1617","Jose Quintana",503556,"CU|FT","In play, out(s)","93.9","37.26"
"1618","Jose Quintana",503556,"FT|CU","Called Strike","null","null"
"1620","Jose Quintana",545350,"FT|CU","Called Strike","null","null"
"1622","Jose Quintana",545350,"FF|FF","Called Strike","null","null"
"1623","Jose Quintana",545350,"FF|FT","Foul","null","null"
"1624","Jose Quintana",545350,"FT|CU","In play, out(s)","77.8","47.02"
"1629","Jose Quintana",543257,"CU|FF","Called Strike","null","null"
"1632","Jose Quintana",543257,"FF|FT","Called Strike","null","null"
"1634","Jose Quintana",408045,"CU|FT","Foul","null","null"
"1635","Jose Quintana",408045,"FT|FT","Swinging Strike","null","null"
"1636","Jose Quintana",408045,"FT|FF","Called Strike","null","null"
"1640","Jose Quintana",572821,"CH|FT","Foul","null","null"
"1641","Jose Quintana",572821,"FT|FF","Called Strike","null","null"
"1643","Jose Quintana",572821,"CH|FF","In play, run(s)","104.8","44.06"
"1645","Jose Quintana",461858,"CU|FT","Foul","null","null"
"1646","Jose Quintana",461858,"FT|FF","Foul","null","null"
"1647","Jose Quintana",461858,"FF|CU","Foul","null","null"
"1650","Jose Quintana",596146,"FF|CU","In play, out(s)","80.7","44.95"
"1652","Jose Quintana",666560,"FF|FF","Swinging Strike","null","null"
"1654","Jose Quintana",666560,"FF|FF","Foul","null","null"
"1656","Jose Quintana",435559,"CU|FF","Called Strike","null","null"
"1660","Jose Quintana",408045,"CH|CU","In play, out(s)","81","29.51"
"1661","Jose Quintana",408045,"CU|FF","Called Strike","null","null"
"1662","Jose Quintana",408045,"FF|CU","Called Strike","null","null"
"1664","Jose Quintana",572821,"CH|FF","Called Strike","null","null"
"1665","Jose Quintana",572821,"FF|CH","In play, out(s)","49.2","-60.78"
"1667","Jose Quintana",461858,"CH|CU","Swinging Strike","null","null"
"1669","Jose Quintana",461858,"FF|CU","Swinging Strike","null","null"
"1673","Jose Quintana",666560,"CU|FF","In play, out(s)","59.5","59.94"
"1674","Jose Quintana",666560,"FF|FF","Called Strike","null","null"
"1680","Jose Quintana",621439,"CU|FF","Called Strike","null","null"
"1681","Jose Quintana",621439,"FF|FF","Foul","null","null"
"1682","Jose Quintana",621439,"FF|FT","In play, out(s)","91.7","50.81"
"1685","Jose Quintana",456488,"FT|FT","In play, no out","102","2.23"
"1686","Jose Quintana",456488,"FT|CU","Called Strike","null","null"
"1687","Jose Quintana",456488,"CU|FF","Foul","null","null"
"1690","Jose Quintana",543257,"CU|FT","Foul","null","null"
"1691","Jose Quintana",543257,"FT|FF","Called Strike","null","null"
"1692","Jose Quintana",543257,"FF|FT","Swinging Strike","null","null"
"1693","Jose Quintana",543257,"FT|CU","Swinging Strike (Blocked)","null","null"
"1699","Jose Quintana",572821,"FF|CU","Called Strike","null","null"
"1701","Jose Quintana",572821,"CH|CU","In play, run(s)","94.1","26.07"
"1703","Jose Quintana",461858,"CH|FF","Called Strike","null","null"
"1705","Jose Quintana",461858,"FF|FF","Swinging Strike","null","null"
"1709","Jose Quintana",596146,"CU|FF","Called Strike","null","null"
"1711","Jose Quintana",666560,"FF|FT","Swinging Strike","null","null"
"1712","Jose Quintana",666560,"FT|FF","Called Strike","null","null"
"1713","Jose Quintana",666560,"FF|FF","Foul","null","null"
"1716","Jose Quintana",621439,"FF|FF","Called Strike","null","null"
"1717","Jose Quintana",621439,"FF|FF","In play, out(s)","96.3","-4.16"
"1721","Jose Quintana",621439,"FT|FF","In play, out(s)","null","null"
"1723","Jose Quintana",456488,"CH|FF","In play, out(s)","97.3","-9.02"
"1727","Jose Quintana",120074,"FT|CH","Foul","null","null"
"1729","Jose Quintana",120074,"CH|CU","Called Strike","null","null"
"1730","Jose Quintana",120074,"CU|FF","Called Strike","null","null"
"1734","Jose Quintana",571918,"FF|FF","In play, out(s)","85.5","-16.77"
"1736","Jose Quintana",598265,"CU|FF","Called Strike","null","null"
"1737","Jose Quintana",598265,"FF|FT","Foul","null","null"
"1742","Jose Quintana",434670,"FF|FF","Swinging Strike","null","null"
"1743","Jose Quintana",434670,"FF|FT","Called Strike","null","null"
"1747","Jose Quintana",506702,"FF|FF","Called Strike","null","null"
"1758","Jose Quintana",506702,"CH|CU","Foul","null","null"
"1760","Jose Quintana",506702,"CU|CU","Foul","null","null"
"1763","Jose Quintana",506702,"FF|CU","Called Strike","null","null"
"1764","Jose Quintana",506702,"CU|FT","Foul","null","null"
"1765","Jose Quintana",506702,"FT|FF","Foul","null","null"
"1767","Jose Quintana",506702,"CU|FT","Foul","null","null"
"1769","Jose Quintana",598265,"FF|CU","In play, out(s)","99.8","-1.68"
"1770","Jose Quintana",598265,"CU|FT","Foul","null","null"
"1772","Jose Quintana",605141,"FT|FF","Called Strike","null","null"
"1773","Jose Quintana",605141,"FF|FF","In play, out(s)","null","null"
"1776","Jose Quintana",434670,"FF|CU","In play, out(s)","86.4","6.74"
"1777","Jose Quintana",434670,"CU|CU","Called Strike","null","null"
"1779","Jose Quintana",593428,"FF|CU","Called Strike","null","null"
"1781","Jose Quintana",593428,"FT|FF","Called Strike","null","null"
"1783","Jose Quintana",593428,"FF|FF","In play, out(s)","79.8","55.45"
