pitch_type,player_name,batter
FT,Chris Sale,621439
CH,Chris Sale,593871
CH,Chris Sale,593871
FT,Chris Sale,593871
SL,Chris Sale,543257
CH,Chris Sale,543257
SL,Chris Sale,543257
FT,Chris Sale,543257
SL,Chris Sale,543257
FT,Chris Sale,543257
FT,Chris Sale,593934
FT,Chris Sale,593934
CH,Chris Sale,593934
CH,Chris Sale,593934
FT,Chris Sale,593934
SL,Chris Sale,573627
SL,Chris Sale,573627
FT,Chris Sale,573627
FT,Chris Sale,573627
SL,Chris Sale,596146
SL,Chris Sale,596146
FT,Chris Sale,596146
FT,Chris Sale,596146
SL,Chris Sale,596146
FT,Chris Sale,596146
SL,Chris Sale,596146
CH,Chris Sale,571974
FT,Chris Sale,571974
FT,Chris Sale,502582
FF,Ross Ohlendorf,546991
SL,Ross Ohlendorf,546991
FF,Ross Ohlendorf,546991
CH,Ross Ohlendorf,546991
SL,Ross Ohlendorf,546991
FF,Ross Ohlendorf,493128
FF,Ross Ohlendorf,493128
FF,Ross Ohlendorf,493128
FF,Ross Ohlendorf,493128
SL,Ross Ohlendorf,519333
FF,Ross Ohlendorf,519333
SL,Ross Ohlendorf,519333
FF,Ross Ohlendorf,519333
SL,Ross Ohlendorf,519333
SL,Andrew Miller,542993
SL,Andrew Miller,542993
FF,Andrew Miller,542993
SL,Andrew Miller,542993
FF,Andrew Miller,593160
SL,Andrew Miller,593160
FT,Chris Sale,593871
CH,Chris Sale,593871
FT,Chris Sale,593871
FT,Chris Sale,543257
FT,Chris Sale,543257
SL,Chris Sale,543257
SL,Chris Sale,543257
SL,Chris Sale,543257
FT,Chris Sale,543257
SL,Chris Sale,543257
FT,Chris Sale,593934
FT,Chris Sale,593934
CH,Chris Sale,593934
FT,Chris Sale,593934
CH,Chris Sale,593934
SL,Chris Sale,573627
FT,Chris Sale,573627
SL,Chris Sale,596146
FT,Chris Sale,596146
FT,Chris Sale,596146
SL,Chris Sale,596146
SL,Chris Sale,500871
SL,Chris Sale,500871
CH,Chris Sale,500871
FT,Chris Sale,500871
CH,Chris Sale,500871
FT,Chris Sale,500871
CH,Chris Sale,500871
FT,Chris Sale,571974
FT,Chris Sale,571974
FT,Chris Sale,571974
SL,Chris Sale,502582
SL,Chris Sale,502582
FT,Chris Sale,502582
SL,Chris Sale,502582
FT,Chris Sale,621439
FT,Chris Sale,621439
CH,Chris Sale,593871
FT,Chris Sale,593871
CH,Chris Sale,593871
FT,Chris Sale,593871
CH,Chris Sale,593871
SL,Chris Sale,593871
CH,Chris Sale,543257
FT,Chris Sale,543257
FT,Chris Sale,543257
CH,Chris Sale,543257
FT,Chris Sale,543257
FT,Chris Sale,593934
FT,Chris Sale,593934
SL,Chris Sale,593934
FT,Chris Sale,593934
FT,Chris Sale,593934
FT,Chris Sale,593934
FT,Chris Sale,593934
FT,Chris Sale,500871
FT,Chris Sale,500871
FT,Chris Sale,500871
SL,Chris Sale,500871
FT,Chris Sale,621439
SL,Chris Sale,621439
CH,Chris Sale,621439
FF,Addison Reed,546318
FF,Addison Reed,546318
FF,Addison Reed,546318
FF,Addison Reed,546318
FF,Addison Reed,596748
SL,Andrew Miller,460086
SL,Andrew Miller,460086
SL,Andrew Miller,460086
SL,Andrew Miller,460086
SL,Andrew Miller,537953
