pitch_type,player_name,batter
FF,Kevin Gausman,543305
FS,Kevin Gausman,543305
FF,Kevin Gausman,543305
SL,Heath Hembree,431145
SI,Kyle Hendricks,573113
CH,Kyle Hendricks,573113
SI,Kyle Hendricks,573113
FF,Kevin Gausman,544369
FF,Kevin Gausman,544369
SI,Chad Kuhl,572761
SI,Chad Kuhl,572761
SL,Chad Kuhl,572761
SI,Chad Kuhl,572761
SI,Chad Kuhl,572761
SI,Chad Kuhl,649557
SI,Chad Kuhl,425877
SL,Chad Kuhl,425877
SI,Chad Kuhl,572039
SI,Chad Kuhl,572039
SI,Chad Kuhl,572039
FF,Chad Kuhl,572039
SI,Chad Kuhl,572039
FF,Chad Kuhl,572039
SL,Chad Kuhl,572039
SI,Chad Kuhl,425509
SI,Chad Kuhl,425509
SI,Chad Kuhl,425509
SI,Chad Kuhl,425509
SI,Chad Kuhl,425509
FF,Chad Kuhl,425509
FF,Chad Kuhl,425509
SI,Chad Kuhl,461235
SI,Chad Kuhl,461235
SI,Chad Kuhl,461235
SI,Chad Kuhl,461235
SI,Chad Kuhl,576397
SI,Chad Kuhl,576397
SI,Chad Kuhl,576397
SI,Chad Kuhl,545341
SI,Chad Kuhl,545341
FF,Chad Kuhl,545341
FF,Chad Kuhl,545341
SI,Chad Kuhl,571431
SI,Chad Kuhl,571431
SI,Chad Kuhl,571431
SL,Chad Kuhl,649557
SL,Chad Kuhl,649557
SI,Chad Kuhl,649557
SI,Chad Kuhl,425509
SI,Chad Kuhl,461235
SI,Chad Kuhl,461235
SI,Chad Kuhl,461235
SI,Chad Kuhl,461235
SI,Chad Kuhl,461235
SI,Chad Kuhl,576397
SL,Chad Kuhl,576397
FF,Chad Kuhl,576397
FF,Chad Kuhl,576397
SI,Chad Kuhl,545341
SI,Chad Kuhl,545341
SI,Chad Kuhl,545341
SL,Chad Kuhl,545341
SI,Chad Kuhl,571757
SI,Chad Kuhl,571757
SI,Chad Kuhl,572761
SI,Chad Kuhl,572761
SI,Chad Kuhl,425877
FF,Chad Kuhl,425877
FF,Chad Kuhl,425877
SI,Chad Kuhl,425877
SL,Chad Kuhl,425877
SI,Chad Kuhl,461235
SI,Chad Kuhl,461235
SL,Clayton Kershaw,491676
CU,Clayton Kershaw,491676
FF,Clayton Kershaw,491676
SL,Clayton Kershaw,491676
SL,Clayton Kershaw,474832
FF,Clayton Kershaw,474832
FF,Clayton Kershaw,457763
SL,Clayton Kershaw,452254
FF,Clayton Kershaw,452254
FF,Clayton Kershaw,452254
FF,Clayton Kershaw,452254
CU,Clayton Kershaw,452254
FF,Clayton Kershaw,493596
FF,Clayton Kershaw,474832
FF,Clayton Kershaw,474832
SL,Clayton Kershaw,474832
FF,Clayton Kershaw,474832
FF,Clayton Kershaw,457763
CU,Clayton Kershaw,457763
SL,Clayton Kershaw,434636
FF,Clayton Kershaw,434636
FF,Clayton Kershaw,434636
CU,Clayton Kershaw,493596
FF,Clayton Kershaw,493596
SL,Clayton Kershaw,493596
FF,Joe Kelly,429665
