"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Adam Wainwright","FF|FF",82.3777777777778,11.8266666666667,0.075,0.275,0.444444444444444,0.111111111111111,0.444444444444444,0
"2","Adam Wainwright","CH|CH",70.2,10.73,0.25,0.5,0,1,0,0
"3","Adam Wainwright","CU|FF",84.9,14.645,0.114285714285714,0.514285714285714,0.333333333333333,0.333333333333333,0.333333333333333,0
"6","Adam Wainwright","FF|CU",81.3315789473684,-0.857894736842105,0.17741935483871,0.403225806451613,0.578947368421053,0.368421052631579,0.0526315789473684,0
"7","Adam Wainwright","CH|FF",107.9,6.08,0,0,1,0,0,0
"9","Adam Wainwright","CU|CH",87,-2.93,0.25,0.75,1,0,0,0
"10","Adam Wainwright","CU|CU",84.2357142857143,11.5629032258065,0.214953271028037,0.467289719626168,0.516129032258065,0.225806451612903,0.193548387096774,0.0645161290322581
"11","Adam Wainwright","FF|FC",86.1136363636364,21.4581818181818,0.137931034482759,0.46551724137931,0.409090909090909,0.227272727272727,0.272727272727273,0.0909090909090909
"12","Adam Wainwright","FF|SI",96.22,14.508,0.0344827586206897,0.241379310344828,0.4,0.3,0.3,0
"14","Adam Wainwright","FC|FF",82.2181818181818,21.0572727272727,0.12,0.38,0.272727272727273,0.454545454545455,0.272727272727273,0
"15","Adam Wainwright","FC|FC",83.071875,8.46393939393939,0.171875,0.453125,0.606060606060606,0.151515151515152,0.181818181818182,0.0606060606060606
"27","Adam Wainwright","CU|FC",82.5655172413793,4.11166666666667,0.133333333333333,0.5,0.633333333333333,0.2,0.166666666666667,0
"28","Adam Wainwright","CU|SI",91.7,9.88833333333333,0.0446428571428571,0.3125,0.416666666666667,0.333333333333333,0.25,0
"29","Adam Wainwright","FC|CU",84.4,12.8782352941176,0.2,0.438461538461538,0.352941176470588,0.411764705882353,0.235294117647059,0
"30","Adam Wainwright","FC|SI",88.5821428571429,6.34966666666667,0.0615384615384615,0.323076923076923,0.533333333333333,0.366666666666667,0.1,0
"31","Adam Wainwright","SI|CU",86.2142857142857,5.99862068965517,0.189655172413793,0.422413793103448,0.448275862068966,0.344827586206897,0.206896551724138,0
"32","Adam Wainwright","SI|FC",87.1024390243902,7.46975609756098,0.128571428571429,0.471428571428571,0.609756097560976,0.146341463414634,0.24390243902439,0
"33","Adam Wainwright","SI|SI",93.7714285714286,6.18241379310345,0.0701754385964912,0.315789473684211,0.517241379310345,0.275862068965517,0.206896551724138,0
"34","Adam Wainwright","CH|SI",85.45,8.77,0.0714285714285714,0.285714285714286,0.5,0,0.5,0
"35","Adam Wainwright","SI|CH",97.9,12.385,0,0.111111111111111,0,1,0,0
"36","Adam Wainwright","SI|FF",92.4571428571429,34.00125,0.113636363636364,0.386363636363636,0.125,0.25,0.5,0.125
"38","Adam Wainwright","SI|FF",92.4571428571429,34.00125,0.113636363636364,0.386363636363636,0.125,0.25,0.5,0.125
