"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"729","Kevin Quackenbush",541650,"CU|FF","Strike","null","null"
"732","Kevin Quackenbush",541650,"FF|FF","Foul","null","null"
"736","Kevin Quackenbush",570717,"CU|FF","Foul","null","null"
"738","Kevin Quackenbush",570717,"CU|CU","Strike","null","null"
"739","Kevin Quackenbush",570717,"CU|FF","Strike","null","null"
"741","Kevin Quackenbush",570717,"FF|FF","Foul","null","null"
"743","Kevin Quackenbush",605200,"FF|FF","Foul","null","null"
"745","Kevin Quackenbush",542340,"FF|FF","Hit","null","null"
"748","Kevin Quackenbush",571697,"FF|CU","Swinging Strike","null","null"
"749","Kevin Quackenbush",571697,"CU|CU","Swinging Strike","null","null"
"750","Kevin Quackenbush",571697,"CU|CU","Foul","null","null"
"752","Kevin Quackenbush",518960,"FF|FF","Strike","null","null"
"757","Kevin Quackenbush",474892,"FF|FF","Strike","null","null"
"758","Kevin Quackenbush",474892,"FF|FF","Hit","109.2","14.56"
"760","Kevin Quackenbush",518960,"FF|FF","Foul","null","null"
"761","Kevin Quackenbush",518960,"FF|CU","Foul","null","null"
"764","Kevin Quackenbush",518960,"FF|FF","Foul","null","null"
"765","Kevin Quackenbush",518960,"FF|FF","Hit","94.6","34.38"
"767","Kevin Quackenbush",570267,"SL|FF","Strike","null","null"
"772","Kevin Quackenbush",543590,"FF|FF","Hit","100.6","13.45"
"774","Kevin Quackenbush",431094,"CU|FF","Strike","null","null"
"779","Kevin Quackenbush",595879,"CU|FF","Strike","null","null"
"781","Kevin Quackenbush",595879,"CU|CU","Foul","null","null"
"787","Kevin Quackenbush",600303,"CU|CU","Strike","null","null"
"788","Kevin Quackenbush",600303,"CU|FF","Foul","null","null"
"790","Kevin Quackenbush",600303,"CU|FF","Hit","85.1","49.27"
"792","Kevin Quackenbush",424325,"FF|FF","Foul","null","null"
"794","Kevin Quackenbush",424325,"CU|FF","Hit","88.5","51.38"
"796","Kevin Quackenbush",451594,"CU|CU","Foul","null","null"
"798","Kevin Quackenbush",451594,"CU|FF","Strike","null","null"
"800","Kevin Quackenbush",451594,"FF|FF","Strike","null","null"
"801","Kevin Quackenbush",451594,"FF|FF","Strike","null","null"
"802","Kevin Quackenbush",451594,"FF|FF","Foul","null","null"
"807","Kevin Quackenbush",592178,"FF|FF","Strike","null","null"
"808","Kevin Quackenbush",592178,"FF|FF","Hit","68.9","0.79"
"810","Kevin Quackenbush",493316,"SL|FF","Hit","null","null"
"811","Kevin Quackenbush",493316,"FF|FF","Strike","null","null"
"814","Kevin Quackenbush",446263,"FF|CU","Strike","null","null"
"816","Kevin Quackenbush",527038,"CU|FF","Foul","null","null"
"817","Kevin Quackenbush",527038,"FF|FF","Foul","null","null"
"819","Kevin Quackenbush",527038,"FF|FF","Strike","null","null"
"821","Kevin Quackenbush",527038,"FF|FF","Hit","58.3","-79.81"
"823","Kevin Quackenbush",608700,"FF|FF","Foul","null","null"
"824","Kevin Quackenbush",608700,"FF|CU","Hit","83.1","-16.21"
"828","Kevin Quackenbush",493316,"FF|FF","Hit","99.7","22.93"
"830","Kevin Quackenbush",493316,"FF|FF","Foul","null","null"
"833","Kevin Quackenbush",501571,"FF|CU","Hit","96.6","35.85"
"834","Kevin Quackenbush",501571,"CU|CU","Strike","null","null"
"837","Kevin Quackenbush",471865,"FF|FF","Hit","87.9","38.23"
"838","Kevin Quackenbush",471865,"FF|FF","Foul","null","null"
"841","Kevin Quackenbush",571448,"CU|FF","Hit","100.3","30.22"
"842","Kevin Quackenbush",571448,"FF|FF","Strike","null","null"
"844","Kevin Quackenbush",460026,"FF|FF","Foul","null","null"
"850","Kevin Quackenbush",518934,"CU|FF","Hit","88.3","20.06"
"852","Kevin Quackenbush",518934,"FF|FF","Strike","null","null"
"853","Kevin Quackenbush",518934,"FF|FF","Foul","null","null"
"856","Kevin Quackenbush",572019,"FF|FF","Hit","63.9","54.66"
"858","Kevin Quackenbush",624577,"FF|FF","Strike","null","null"
"859","Kevin Quackenbush",624577,"FF|FF","Hit","100","-2.42"
"865","Kevin Quackenbush",434636,"FF|FF","Strike","null","null"
"870","Kevin Quackenbush",605412,"FF|FF","Strike","null","null"
"873","Kevin Quackenbush",622110,"CU|CU","Foul","null","null"
"875","Kevin Quackenbush",622110,"CU|FF","Hit","93.8","15.34"
"877","Kevin Quackenbush",576397,"CU|FF","Hit","100.8","25.68"
"880","Kevin Quackenbush",649557,"FF|CU","Hit","100.4","28.08"
"882","Kevin Quackenbush",545341,"FF|FF","Foul","null","10.44"
"883","Kevin Quackenbush",545341,"FF|CU","Strike","null","null"
"885","Kevin Quackenbush",545341,"FF|FF","Hit","81.2","-42.92"
"887","Kevin Quackenbush",425877,"FF|CU","Strike","null","null"
"893","Kevin Quackenbush",649557,"FF|FF","Strike","null","null"
"894","Kevin Quackenbush",649557,"FF|CU","Strike","null","null"
"901","Kevin Quackenbush",461235,"FF|CU","Hit","99.5","5.16"
"902","Kevin Quackenbush",461235,"CU|FF","Strike","null","null"
"903","Kevin Quackenbush",461235,"FF|FF","Foul","null","38.47"
"905","Kevin Quackenbush",474568,"FF|CU","Strike","null","null"
"907","Kevin Quackenbush",502676,"FF|FF","Foul","null","15.59"
"911","Kevin Quackenbush",501896,"FF|FF","Foul","null","30.28"
"912","Kevin Quackenbush",501896,"FF|FF","Strike","null","null"
"913","Kevin Quackenbush",501896,"FF|CU","Strike","null","null"
"918","Kevin Quackenbush",465041,"CU|FF","Foul","null","null"
"919","Kevin Quackenbush",465041,"FF|CU","Strike","null","null"
"922","Kevin Quackenbush",570256,"FF|CU","Hit","67.4","-54.54"
"923","Kevin Quackenbush",570256,"CU|CU","Strike","null","null"
"928","Kevin Quackenbush",543302,"CH|FF","Foul","null","null"
"931","Kevin Quackenbush",571578,"FF|FF","Foul","null","null"
"938","Kevin Quackenbush",592273,"CU|FF","Foul","null","null"
"939","Kevin Quackenbush",592273,"FF|CU","Hit","92.1","29.5"
"940","Kevin Quackenbush",592273,"CU|FF","Strike","null","null"
"942","Kevin Quackenbush",571875,"CU|FF","Strike","null","null"
"943","Kevin Quackenbush",571875,"FF|CU","Hit","93.6","26.63"
"951","Kevin Quackenbush",630111,"CU|FF","Foul","null","null"
"955","Kevin Quackenbush",516416,"FF|FF","Strike","null","null"
"957","Kevin Quackenbush",501986,"FF|CU","Foul","null","null"
"958","Kevin Quackenbush",501986,"CU|FF","Foul","null","null"
"963","Kevin Quackenbush",501986,"FF|CU","Foul","null","null"
"964","Kevin Quackenbush",501986,"CU|FF","Foul","null","null"
"971","Kevin Quackenbush",514917,"FF|FF","Hit","null","null"
"973","Kevin Quackenbush",519237,"FF|FF","Foul","null","null"
"974","Kevin Quackenbush",519237,"FF|FF","Foul","null","26.08"
"979","Kevin Quackenbush",453568,"FF|CU","Strike","null","null"
"981","Kevin Quackenbush",448602,"FF|FF","Strike","null","null"
"985","Kevin Quackenbush",460026,"CU|CU","Strike","null","null"
"989","Kevin Quackenbush",518934,"FF|CU","Hit","96.8","19.94"
"998","Kevin Quackenbush",605131,"FF|FF","Foul","null","45.58"
"1002","Kevin Quackenbush",571771,"CU|CU","Strike","null","null"
"1003","Kevin Quackenbush",571771,"CU|CU","Strike","null","null"
"1006","Kevin Quackenbush",571771,"CU|FF","Foul","null","-22.33"
"1009","Kevin Quackenbush",400284,"FF|CU","Strike","null","null"
"1013","Kevin Quackenbush",400284,"CU|FF","Hit","98.1","8.64"
"1015","Kevin Quackenbush",608369,"FF|CU","Foul","null","-11.89"
"1016","Kevin Quackenbush",608369,"CU|FF","Foul","null","null"
"1017","Kevin Quackenbush",608369,"FF|CU","Hit","64.7","-36.78"
"1020","Kevin Quackenbush",475100,"FF|FF","Strike","null","null"
"1022","Kevin Quackenbush",475100,"FF|CU","Strike","null","null"
