"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2495","Tyler Chatwood",605113,"FT|FT","In play, out(s)","82.5","44.59"
"2496","Tyler Chatwood",605113,"FT|FT","Ball","null","null"
"2498","Tyler Chatwood",516416,"FT|FT","Ball","null","null"
"2499","Tyler Chatwood",516416,"FT|FT","In play, no out","65.2","25.41"
"2501","Tyler Chatwood",572008,"FF|FT","In play, out(s)","96.8","45.7"
"2502","Tyler Chatwood",572008,"FT|FT","Ball","null","null"
"2503","Tyler Chatwood",572008,"FT|PO","Pitchout","null","null"
"2505","Tyler Chatwood",571875,"FF|FF","In play, out(s)","86.9","-9.6"
"2506","Tyler Chatwood",571875,"FF|FF","Called Strike","null","null"
"2507","Tyler Chatwood",571875,"FF|FT","Foul","null","24.47"
"2509","Tyler Chatwood",543302,"FT|FF","Ball","null","null"
"2510","Tyler Chatwood",543302,"FF|FT","In play, out(s)","102.9","21.93"
"2512","Tyler Chatwood",594838,"FT|CH","Ball","null","null"
"2513","Tyler Chatwood",594838,"CH|FT","In play, no out","104.3","0.84"
"2514","Tyler Chatwood",594838,"FT|FF","Ball","null","null"
"2516","Tyler Chatwood",516416,"FT|FT","Foul","null","null"
"2517","Tyler Chatwood",516416,"FT|CU","In play, no out","106.7","5.09"
"2518","Tyler Chatwood",516416,"CU|FT","Called Strike","null","null"
"2519","Tyler Chatwood",516416,"FT|FT","Ball","null","null"
"2521","Tyler Chatwood",502671,"FF|CH","Called Strike","null","null"
"2523","Tyler Chatwood",592273,"FT|FT","Ball","null","null"
"2524","Tyler Chatwood",592273,"FT|FT","In play, no out","null","null"
"2525","Tyler Chatwood",592273,"FT|FF","Called Strike","null","null"
"2526","Tyler Chatwood",592273,"FF|SL","Foul","null","null"
"2528","Tyler Chatwood",571578,"FF|FT","Called Strike","null","null"
"2529","Tyler Chatwood",571578,"FT|FF","In play, no out","null","null"
"2532","Tyler Chatwood",572008,"FT|CH","In play, run(s)","null","null"
"2533","Tyler Chatwood",572008,"CH|FT","Ball","null","null"
"2535","Tyler Chatwood",444482,"FF|FF","Ball","null","null"
"2536","Tyler Chatwood",444482,"FF|FF","In play, run(s)","76.1","0.12"
"2539","Tyler Chatwood",592273,"FF|FF","Foul","null","null"
"2540","Tyler Chatwood",592273,"FF|CH","Ball","null","null"
"2541","Tyler Chatwood",592273,"CH|FF","Called Strike","null","null"
"2542","Tyler Chatwood",592273,"FF|CH","Ball","null","null"
"2543","Tyler Chatwood",592273,"CH|FT","Foul","null","null"
"2544","Tyler Chatwood",592273,"FT|FT","In play, out(s)","80.8","11.17"
"2546","Tyler Chatwood",571875,"FF|FF","Called Strike","null","null"
