"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2071","Doug Fister",545361,"FT|CU","Swinging Strike","null","null"
"2072","Doug Fister",545361,"CU|FF","Strike","null","null"
"2074","Doug Fister",405395,"FT|CU","Strike","null","null"
"2075","Doug Fister",405395,"CU|FC","Strike","null","null"
"2079","Doug Fister",542364,"CH|FT","Strike","null","null"
"2082","Doug Fister",460060,"FT|FT","Strike","null","null"
"2083","Doug Fister",460060,"FT|CU","Strike","null","null"
"2085","Doug Fister",460060,"FT|CU","Swinging Strike","null","null"
"2092","Doug Fister",592230,"CU|FC","Foul","null","null"
"2094","Doug Fister",592230,"CU|FT","Strike","null","null"
"2095","Doug Fister",592230,"FT|CH","Strike","null","null"
"2096","Doug Fister",592230,"CH|FT","Strike","null","null"
"2098","Doug Fister",543068,"FT|FT","Foul","null","null"
"2103","Doug Fister",594777,"FC|FT","Strike","null","null"
"2106","Doug Fister",405395,"FT|FF","Strike","null","null"
"2108","Doug Fister",542364,"CH|CU","Strike","null","null"
"2113","Doug Fister",460060,"FT|FT","Strike","null","null"
"2114","Doug Fister",460060,"FT|CU","Hit","97.8","7.19"
"2117","Doug Fister",592230,"FT|FF","Foul","null","null"
"2120","Doug Fister",545361,"CU|FT","Foul","null","null"
"2121","Doug Fister",545361,"FT|FT","Hit","96.3","-9.91"
"2123","Doug Fister",545361,"FF|CH","Foul","null","null"
"2128","Doug Fister",543213,"CU|FC","Strike","null","null"
"2129","Doug Fister",543213,"FC|FC","Hit","null","null"
"2131","Doug Fister",572073,"FT|FT","Foul","null","null"
"2132","Doug Fister",572073,"FT|CU","Foul","null","null"
"2133","Doug Fister",572073,"CU|FT","Foul","null","null"
"2136","Doug Fister",572073,"FF|FT","Foul","null","null"
"2137","Doug Fister",572073,"FT|CU","Hit","null","null"
"2139","Doug Fister",592518,"FC|FF","Foul","null","null"
"2142","Doug Fister",592518,"FT|FF","Strike","null","null"
"2146","Doug Fister",430945,"FC|FT","Strike","null","null"
"2147","Doug Fister",430945,"FT|FF","Hit","84.2","-6.45"
"2151","Doug Fister",448801,"FF|FF","Strike","null","null"
"2154","Doug Fister",448801,"FT|CU","Foul","null","null"
"2156","Doug Fister",444432,"FF|FF","Hit","104.1","-32.4"
"2157","Doug Fister",444432,"FF|FF","Strike","null","null"
"2159","Doug Fister",446308,"FF|CH","Foul","null","null"
"2161","Doug Fister",446308,"FT|FT","Strike","null","null"
"2162","Doug Fister",446308,"FT|CU","Swinging Strike","null","null"
"2165","Doug Fister",476883,"FT|FF","Foul","null","null"
"2166","Doug Fister",476883,"FF|FF","Swinging Strike","null","null"
"2170","Doug Fister",570731,"FF|FF","Strike","null","null"
"2171","Doug Fister",570731,"FF|FF","Foul","null","null"
"2172","Doug Fister",570731,"FF|FF","Hit","107.6","1.51"
"2174","Doug Fister",475247,"FF|FT","Strike","null","null"
"2175","Doug Fister",475247,"FT|FF","Strike","null","null"
"2178","Doug Fister",592518,"FT|FF","Hit","72.2","-37.7"
"2182","Doug Fister",448801,"FT|FT","Swinging Strike","null","null"
"2183","Doug Fister",448801,"FT|FT","Swinging Strike","null","null"
"2184","Doug Fister",448801,"FT|FF","Foul","null","null"
"2190","Doug Fister",446308,"FT|FT","Hit","96","-4.46"
"2192","Doug Fister",476883,"FT|CU","Hit","104.6","23.31"
"2193","Doug Fister",476883,"CU|FF","Strike","null","null"
"2194","Doug Fister",476883,"FF|FF","Strike","null","null"
"2195","Doug Fister",476883,"FF|FF","Foul","null","null"
"2202","Doug Fister",572073,"FF|FT","Foul","null","null"
"2203","Doug Fister",572073,"FT|FT","Foul","null","null"
"2204","Doug Fister",572073,"FT|FT","Foul","null","null"
"2205","Doug Fister",572073,"FT|FT","Foul","null","null"
"2207","Doug Fister",572073,"FF|FT","Foul","null","null"
"2208","Doug Fister",572073,"FT|FT","Hit","87.3","-22.62"
"2211","Doug Fister",592518,"CU|FF","Hit","107.4","34.77"
"2212","Doug Fister",592518,"FF|FT","Strike","null","null"
"2213","Doug Fister",592518,"FT|FT","Foul","null","null"
"2218","Doug Fister",430945,"FF|FF","Hit","97.9","-8.63"
"2220","Doug Fister",448801,"FT|FF","Strike","null","null"
"2221","Doug Fister",448801,"FF|FF","Hit","97.8","60.61"
"2226","Doug Fister",444432,"FC|FF","Strike","null","null"
"2227","Doug Fister",444432,"FF|FC","Strike","null","null"
"2228","Doug Fister",444432,"FC|FF","Hit","88.6","-45.63"
"2230","Doug Fister",475247,"FF|FT","Foul","null","null"
"2232","Doug Fister",475247,"FT|FF","Hit","58.7","-56.9"
"2234","Doug Fister",572073,"FF|FF","Strike","null","null"
"2235","Doug Fister",572073,"FF|FF","Hit","89","-6.6"
"2237","Doug Fister",594809,"FT|FT","Foul","null","null"
"2239","Doug Fister",594809,"FF|FT","Strike","null","null"
"2241","Doug Fister",594809,"FT|FT","Hit","81.6","-6.97"
"2244","Doug Fister",547989,"FT|FT","Hit","93.1","-2.22"
"2246","Doug Fister",547989,"FT|CU","Swinging Strike","null","null"
"2248","Doug Fister",453943,"FT|FC","Strike","null","null"
"2251","Doug Fister",453943,"FT|FT","Foul","null","null"
"2254","Doug Fister",466320,"FT|FT","Hit","107.5","1.33"
"2257","Doug Fister",543434,"FC|FT","Strike","null","null"
"2258","Doug Fister",543434,"FT|FT","Strike","null","null"
"2259","Doug Fister",543434,"FT|FT","Strike","null","null"
"2262","Doug Fister",541645,"FC|CU","Swinging Strike","null","null"
"2264","Doug Fister",541645,"FT|FT","Foul","null","null"
"2268","Doug Fister",594809,"CH|CU","Strike","null","null"
"2270","Doug Fister",276519,"CU|CU","Swinging Strike","null","null"
"2271","Doug Fister",276519,"CU|FT","Strike","null","null"
"2272","Doug Fister",276519,"FT|CU","Swinging Strike","null","null"
"2277","Doug Fister",466320,"FT|FT","Hit","108","9.29"
"2279","Doug Fister",543434,"FT|FT","Strike","null","null"
"2280","Doug Fister",543434,"FT|CU","Swinging Strike","null","null"
"2282","Doug Fister",543434,"FC|FT","Foul","null","null"
"2285","Doug Fister",457706,"FT|FC","Strike","null","null"
"2286","Doug Fister",457706,"FC|FT","Hit","96.8","16.88"
"2291","Doug Fister",594809,"CU|FT","Hit","104.1","18.01"
"2293","Doug Fister",594809,"CU|FT","Strike","null","null"
"2295","Doug Fister",276519,"FT|FT","Strike","null","null"
"2298","Doug Fister",276519,"CU|CU","Strike","null","null"
"2299","Doug Fister",276519,"CU|FT","Hit","94.2","24.67"
"2301","Doug Fister",547989,"FT|FT","Strike","null","null"
"2306","Doug Fister",543434,"FT|FF","Foul","null","null"
"2307","Doug Fister",543434,"FF|CU","Strike","null","null"
"2308","Doug Fister",543434,"CU|FT","Foul","null","null"
"2309","Doug Fister",543434,"FT|CU","Swinging Strike","null","null"
"2312","Doug Fister",541645,"CU|FC","Strike","null","null"
"2313","Doug Fister",541645,"FC|FT","Hit","78.7","-2.89"
"2315","Doug Fister",425900,"FT|FT","Hit","104.3","11.53"
"2317","Doug Fister",425900,"FT|FT","Strike","null","null"
"2321","Doug Fister",457706,"FT|FT","Strike","null","null"
"2322","Doug Fister",457706,"FT|FT","Strike","null","null"
"2324","Doug Fister",457706,"FT|FT","Hit","92.5","34.39"
"2326","Doug Fister",425900,"CU|FT","Foul","null","null"
"2327","Doug Fister",425900,"FT|FT","Hit","null","null"
"2330","Doug Fister",453943,"FC|FT","Strike","null","null"
"2332","Doug Fister",453943,"FC|FT","Strike","null","null"
"2333","Doug Fister",453943,"FT|FT","Hit","null","null"
"2335","Doug Fister",425900,"FT|FT","Strike","null","null"
"2338","Doug Fister",425900,"FT|FT","Hit","93.2","-8.77"
"2340","Doug Fister",435063,"FC|FC","Strike","null","null"
"2341","Doug Fister",435063,"FC|FF","Strike","null","null"
"2344","Doug Fister",435063,"FT|FT","Strike","null","null"
"2346","Doug Fister",467793,"FF|CH","Foul","null","null"
"2349","Doug Fister",467793,"FF|CU","Foul","null","null"
"2351","Doug Fister",543228,"FF|FF","Foul","null","null"
"2353","Doug Fister",543228,"FF|FT","Swinging Strike","null","null"
"2355","Doug Fister",596019,"FT|FF","Hit","81.6","-13.07"
"2357","Doug Fister",502082,"FC|CH","Swinging Strike","null","null"
"2359","Doug Fister",502082,"FF|FF","Foul","null","null"
"2360","Doug Fister",502082,"FF|FF","Foul","null","null"
"2362","Doug Fister",502082,"FT|CH","Foul","null","null"
"2363","Doug Fister",502082,"CH|FT","Foul","null","null"
"2364","Doug Fister",502082,"FT|FF","Foul","null","null"
"2365","Doug Fister",502082,"FF|FT","Hit","103.2","-15.41"
"2368","Doug Fister",346874,"FC|FT","Strike","null","null"
"2369","Doug Fister",346874,"FT|FT","Hit","85.9","-10.71"
"2371","Doug Fister",596019,"FT|FF","Hit","87.8","28.46"
"2373","Doug Fister",467793,"FT|CH","Hit","80.9","2.16"
"2375","Doug Fister",434658,"FF|FF","Foul","null","null"
"2376","Doug Fister",434658,"FF|FF","Hit","48.4","18.08"
"2378","Doug Fister",434658,"FT|FT","Strike","null","null"
"2379","Doug Fister",434658,"FT|FT","Hit","70.2","-13.01"
"2381","Doug Fister",543228,"FF|FF","Hit","92.1","-9.8"
"2384","Doug Fister",596019,"FT|FF","Foul","null","null"
"2386","Doug Fister",596019,"FT|FT","Hit","71.5","2.25"
"2389","Doug Fister",346874,"FC|FF","Strike","null","null"
"2391","Doug Fister",346874,"FF|CU","Foul","null","null"
"2392","Doug Fister",346874,"CU|FT","Hit","47","-31.29"
"2394","Doug Fister",543401,"FF|FT","Hit","99","10.13"
"2395","Doug Fister",543401,"FT|FT","Strike","null","null"
"2398","Doug Fister",543401,"FC|FT","Hit","92.9","12.06"
"2400","Doug Fister",407781,"FF|FT","Foul","null","null"
"2402","Doug Fister",407781,"FT|FT","Hit","60.3","32.87"
"2404","Doug Fister",543228,"FF|FT","Hit","99.2","-2.59"
"2406","Doug Fister",407781,"FC|FT","Hit","74.4","-35.5"
"2408","Doug Fister",407781,"FT|FT","Hit","75.7","-21.78"
"2411","Doug Fister",435063,"FF|FC","Hit","53.8","-43"
"2413","Doug Fister",434658,"FC|CU","Swinging Strike","null","null"
"2414","Doug Fister",434658,"CU|FC","Hit","null","null"
"2416","Doug Fister",467793,"FC|CH","Strike","null","null"
"2418","Doug Fister",467793,"CH|FT","Hit","84.2","76.05"
"2420","Doug Fister",435063,"FT|FT","Hit","93.1","26.62"
"2423","Doug Fister",543401,"FT|FT","Strike","null","null"
"2424","Doug Fister",543401,"FT|FC","Hit","78.9","11.75"
"2426","Doug Fister",502082,"FT|FT","Strike","null","null"
"2427","Doug Fister",502082,"FT|FT","Hit","102.4","2.02"
"2430","Doug Fister",443558,"FC|FF","Hit","83.2","24.46"
"2431","Doug Fister",443558,"FF|FT","Strike","null","null"
"2433","Doug Fister",572122,"CH|FT","Hit","96.6","37.62"
"2434","Doug Fister",572122,"FT|CU","Strike","null","null"
"2439","Doug Fister",452252,"FT|FT","Foul","null","null"
"2440","Doug Fister",452252,"FT|CU","Swinging Strike","null","null"
"2443","Doug Fister",455104,"FC|FF","Strike","null","null"
"2445","Doug Fister",455104,"FT|FT","Strike","null","null"
"2449","Doug Fister",606466,"FF|FT","Strike","null","null"
"2450","Doug Fister",606466,"FT|FT","Foul","null","null"
"2451","Doug Fister",606466,"FT|FT","Hit","88.3","-19.1"
"2453","Doug Fister",606466,"FF|FT","Foul","null","null"
"2456","Doug Fister",547982,"FT|CH","Hit","79.6","25.27"
"2459","Doug Fister",452234,"CU|CU","Strike","null","null"
"2460","Doug Fister",452234,"CU|FT","Hit","78.2","-24.64"
"2462","Doug Fister",429664,"CH|FT","Hit","108.7","-3.56"
"2467","Doug Fister",443558,"FC|FC","Swinging Strike","null","null"
"2469","Doug Fister",443558,"FT|FF","Foul","null","null"
"2477","Doug Fister",443558,"FF|FF","Foul","null","null"
"2478","Doug Fister",443558,"FF|FF","Foul","null","null"
"2480","Doug Fister",443558,"FF|FT","Foul","null","null"
"2483","Doug Fister",572122,"FF|FC","Hit","74.5","55.25"
"2485","Doug Fister",452252,"FT|FT","Hit","100.7","15.14"
"2486","Doug Fister",452252,"FT|FF","Strike","null","null"
"2490","Doug Fister",606466,"FT|CH","Swinging Strike","null","null"
"2492","Doug Fister",606466,"FF|FT","Hit","72.2","-1.49"
"2493","Doug Fister",606466,"FT|FC","Strike","null","null"
"2494","Doug Fister",606466,"FC|FF","Foul","null","null"
"2495","Doug Fister",606466,"FF|CU","Foul","null","null"
"2497","Doug Fister",547982,"FF|CH","Swinging Strike","null","null"
"2500","Doug Fister",547982,"CH|FF","Foul","null","null"
"2501","Doug Fister",547982,"FF|FF","Hit","null","null"
"2503","Doug Fister",493114,"FF|FC","Foul","null","null"
"2504","Doug Fister",493114,"FC|FT","Strike","null","null"
"2505","Doug Fister",493114,"FT|CH","Strike","null","null"
"2509","Doug Fister",452234,"FC|FC","Foul","null","null"
"2510","Doug Fister",452234,"FC|FT","Swinging Strike","null","null"
"2512","Doug Fister",452234,"FT|FF","Hit","87.2","-35.25"
"2516","Doug Fister",493114,"CU|FF","Strike","null","null"
"2517","Doug Fister",493114,"FF|FF","Foul","null","null"
"2520","Doug Fister",493114,"FT|FT","Hit","84.8","-37.14"
"2522","Doug Fister",452234,"FF|FC","Foul","null","null"
"2523","Doug Fister",452234,"FC|FF","Hit","98","34.77"
"2527","Doug Fister",475174,"CH|FT","Foul","null","null"
"2529","Doug Fister",543760,"FT|FT","Strike","null","null"
"2531","Doug Fister",542993,"CU|FC","Foul","null","null"
"2532","Doug Fister",542993,"FC|FT","Strike","null","null"
"2533","Doug Fister",542993,"FT|FT","Strike","null","null"
"2534","Doug Fister",542993,"FT|FT","Foul","null","null"
"2538","Doug Fister",476704,"FT|FT","Swinging Strike","null","null"
"2539","Doug Fister",476704,"FT|FT","Strike","null","null"
"2540","Doug Fister",476704,"FT|FT","Foul","null","null"
"2541","Doug Fister",476704,"FT|CU","Hit","87.3","9.33"
"2542","Doug Fister",476704,"CU|FT","Strike","null","null"
"2546","Doug Fister",502210,"FT|FT","Hit","82","-7.19"
"2549","Doug Fister",501981,"FC|FF","Foul","null","null"
"2550","Doug Fister",501981,"FF|FT","Foul","null","null"
"2551","Doug Fister",501981,"FT|FT","Strike","null","null"
"2552","Doug Fister",501981,"FT|FC","Strike","null","null"
"2554","Doug Fister",501981,"FF|FF","Hit","98.5","-5.61"
"2556","Doug Fister",519390,"CU|FT","Strike","null","null"
"2558","Doug Fister",424825,"FT|FT","Strike","null","null"
"2561","Doug Fister",458085,"FT|FT","Swinging Strike","null","null"
"2563","Doug Fister",458085,"CU|FT","Strike","null","null"
"2569","Doug Fister",543760,"FC|FT","Swinging Strike","null","null"
"2571","Doug Fister",543760,"FT|FT","Hit","57.4","25.25"
"2574","Doug Fister",542993,"CH|FT","Hit","92.2","32.4"
"2575","Doug Fister",542993,"FT|FT","Strike","null","null"
"2579","Doug Fister",542993,"FT|FT","Strike","null","null"
"2580","Doug Fister",542993,"FT|CU","Hit","87.6","1.74"
"2582","Doug Fister",542993,"FT|FT","Strike","null","null"
"2585","Doug Fister",502210,"FT|FT","Hit","85.9","-2.44"
"2586","Doug Fister",502210,"FT|FT","Strike","null","null"
"2592","Doug Fister",501981,"FT|FC","Swinging Strike","null","null"
"2593","Doug Fister",501981,"FC|FT","Strike","null","null"
"2596","Doug Fister",519390,"FT|FC","Hit","51.8","16.27"
"2598","Doug Fister",424825,"CU|FT","Hit","78.5","5.08"
"2599","Doug Fister",424825,"FT|FT","Strike","null","null"
"2600","Doug Fister",424825,"FT|FT","Strike","null","null"
"2602","Doug Fister",458085,"FT|FC","Swinging Strike","null","null"
"2603","Doug Fister",458085,"FC|FT","Strike","null","null"
"2606","Doug Fister",501981,"FT|FT","Hit","103.5","17.61"
"2607","Doug Fister",501981,"FT|FT","Strike","null","null"
"2608","Doug Fister",501981,"FT|FC","Foul","null","null"
"2610","Doug Fister",519390,"CU|FT","Strike","null","null"
"2613","Doug Fister",424825,"FT|FT","Hit","90.1","17.67"
"2614","Doug Fister",424825,"FT|FT","Strike","null","null"
"2615","Doug Fister",424825,"FT|CU","Foul","null","null"
"2618","Doug Fister",543760,"FT|FT","Strike","null","null"
"2620","Doug Fister",542993,"FT|FT","Strike","null","null"
"2622","Doug Fister",443558,"FT|CH","Strike","null","null"
"2625","Doug Fister",443558,"FF|FT","Strike","null","null"
"2629","Doug Fister",452252,"FT|CH","Swinging Strike","null","null"
"2630","Doug Fister",452252,"CH|FT","Strike","null","null"
"2631","Doug Fister",452252,"FT|FC","Foul","null","21.37"
"2634","Doug Fister",572122,"FT|FF","Strike","null","null"
"2636","Doug Fister",547982,"FT|CH","Hit","100.7","33.81"
"2637","Doug Fister",547982,"CH|FT","Strike","null","null"
"2639","Doug Fister",606466,"FT|FT","Foul","null","46.5"
"2640","Doug Fister",606466,"FT|FT","Foul","null","32.87"
"2641","Doug Fister",606466,"FT|FT","Foul","null","null"
"2644","Doug Fister",606466,"FT|FT","Foul","null","18.68"
"2646","Doug Fister",606466,"FT|FC","Swinging Strike","null","null"
"2648","Doug Fister",493114,"FT|FT","Foul","null","41.21"
"2652","Doug Fister",493114,"FC|FT","Strike","null","null"
"2657","Doug Fister",429664,"FT|FC","Strike","null","null"
"2664","Doug Fister",572122,"CU|FT","Hit","102.2","30.93"
"2665","Doug Fister",572122,"FT|FT","Strike","null","null"
"2669","Doug Fister",455104,"FC|FF","Strike","null","null"
"2670","Doug Fister",455104,"FF|FT","Hit","92.1","23.22"
"2671","Doug Fister",455104,"FT|FT","Strike","null","null"
"2676","Doug Fister",606466,"FT|FT","Hit","84.1","10.35"
"2680","Doug Fister",493114,"FT|FT","Hit","88.9","38.37"
"2681","Doug Fister",493114,"FT|FT","Foul","null","null"
"2685","Doug Fister",493114,"FF|CH","Strike","null","null"
"2687","Doug Fister",493114,"FT|FT","Foul","null","null"
"2688","Doug Fister",493114,"FT|FT","Foul","null","41.6"
"2690","Doug Fister",452234,"CH|FT","Strike","null","null"
"2694","Doug Fister",452252,"CU|CH","Hit","84.5","-29.83"
"2695","Doug Fister",452252,"CH|FT","Strike","null","null"
"2698","Doug Fister",452234,"CH|FT","Strike","null","null"
"2703","Doug Fister",429664,"FT|FT","Foul","null","null"
"2705","Doug Fister",429664,"FT|FT","Hit","101.3","10.68"
"2707","Doug Fister",443558,"FC|FT","Foul","null","null"
"2708","Doug Fister",443558,"FT|FT","Foul","null","43.62"
"2709","Doug Fister",443558,"FT|FT","Foul","null","64.32"
"2711","Doug Fister",443558,"FT|CH","Foul","null","null"
"2712","Doug Fister",443558,"CH|FT","Foul","null","null"
"2713","Doug Fister",443558,"FT|FT","Foul","null","80.53"
"2714","Doug Fister",443558,"FT|FT","Hit","100.4","-1"
"2716","Doug Fister",572122,"CH|CU","Strike","null","null"
"2718","Doug Fister",455104,"FC|FT","Strike","null","null"
"2720","Doug Fister",455104,"FT|CU","Swinging Strike","null","null"
"2722","Doug Fister",455104,"FT|FT","Foul","null","47.07"
"2728","Doug Fister",547982,"FT|FT","Strike","null","null"
"2733","Doug Fister",455104,"FC|CU","Swinging Strike","null","null"
"2735","Doug Fister",592261,"FT|FT","Hit","null","null"
"2739","Doug Fister",425902,"CH|FT","Foul","null","null"
"2740","Doug Fister",425902,"FT|FT","Hit","93.7","14.5"
"2741","Doug Fister",425902,"FT|FT","Strike","null","null"
"2744","Doug Fister",134181,"CU|CU","Strike","null","null"
"2745","Doug Fister",134181,"CU|FC","Hit","74.3","52.39"
"2749","Doug Fister",435622,"FT|CH","Strike","null","null"
"2750","Doug Fister",435622,"CH|FT","Strike","null","null"
"2755","Doug Fister",596059,"FT|FT","Hit","101.5","33.35"
"2756","Doug Fister",596059,"FT|FT","Strike","null","null"
"2757","Doug Fister",596059,"FT|CU","Foul","null","null"
"2761","Doug Fister",592407,"CU|FT","Foul","null","-8.46"
"2762","Doug Fister",592407,"FT|FC","Hit","75.1","22.62"
"2763","Doug Fister",592407,"FC|FT","Strike","null","null"
"2769","Doug Fister",425902,"FT|FT","Hit","102.5","-15.35"
"2775","Doug Fister",435622,"CH|CU","Swinging Strike","null","null"
"2776","Doug Fister",435622,"CU|FT","Hit","98.2","-20.41"
"2780","Doug Fister",462101,"FT|FT","Foul","null","12.16"
"2781","Doug Fister",462101,"FT|FT","Strike","null","null"
"2782","Doug Fister",462101,"FT|FT","Strike","null","null"
"2783","Doug Fister",462101,"FT|FT","Hit","93.3","10.37"
"2786","Doug Fister",592407,"FT|FF","Hit","95.5","54.21"
"2787","Doug Fister",592407,"FF|FT","Foul","null","27.6"
"2789","Doug Fister",592407,"FC|FT","Strike","null","null"
"2792","Doug Fister",608577,"CU|FT","Strike","null","null"
"2793","Doug Fister",608577,"FT|CU","Foul","null","-7.65"
"2794","Doug Fister",608577,"CU|FC","Strike","null","null"
"2796","Doug Fister",425902,"FT|CH","Strike","null","null"
"2797","Doug Fister",425902,"CH|FC","Hit","90.9","21.83"
"2800","Doug Fister",134181,"FF|CH","Hit","103.2","11.1"
"2801","Doug Fister",134181,"CH|FT","Strike","null","null"
"2802","Doug Fister",134181,"FT|FT","Foul","null","-25.84"
"2804","Doug Fister",519048,"FC|CH","Strike","null","null"
"2809","Doug Fister",435622,"FC|FT","Strike","null","null"
"2810","Doug Fister",435622,"FT|FT","Strike","null","null"
"2812","Doug Fister",596059,"FT|FT","Hit","null","0.23"
"2814","Doug Fister",596059,"FC|CU","Strike","null","null"
"2815","Doug Fister",596059,"CU|FT","Hit","70.7","-24.53"
"2818","Doug Fister",608577,"CU|CU","Foul","null","null"
"2819","Doug Fister",608577,"CU|CH","Strike","null","null"
"2820","Doug Fister",608577,"CH|CH","Hit","92.6","-29.47"
"2822","Doug Fister",519048,"CU|FT","Strike","null","null"
"2823","Doug Fister",519048,"FT|CU","Swinging Strike","null","null"
"2825","Doug Fister",519048,"FT|CU","Hit","72.5","2.85"
"2827","Doug Fister",592261,"FT|FC","Hit","64.8","-20.94"
"2831","Doug Fister",444876,"FT|FC","Strike","null","null"
"2832","Doug Fister",444876,"FC|FC","Swinging Strike","null","null"
"2834","Doug Fister",519058,"CU|FC","Hit","93.2","39.34"
"2835","Doug Fister",519058,"FC|FF","Foul","null","88.09"
"2838","Doug Fister",456715,"FC|FC","Swinging Strike","null","null"
"2842","Doug Fister",543333,"FC|CU","Strike","null","null"
"2844","Doug Fister",543333,"CU|CU","Hit","102","7.19"
"2846","Doug Fister",460086,"FF|FF","Strike","null","null"
"2847","Doug Fister",460086,"FF|FT","Hit","106.5","7.48"
"2853","Doug Fister",408299,"FF|FC","Strike","null","null"
"2855","Doug Fister",408299,"FF|FC","Hit","90.1","-8.34"
"2860","Doug Fister",519058,"CU|FF","Hit","98.7","12.11"
"2862","Doug Fister",519058,"CU|FF","Swinging Strike","null","null"
"2865","Doug Fister",456715,"FT|FT","Hit","null","null"
"2870","Doug Fister",434778,"FT|FT","Strike","null","null"
"2871","Doug Fister",434778,"FT|CU","Hit","69.6","46.66"
"2876","Doug Fister",460086,"FC|CH","Strike","null","null"
"2877","Doug Fister",460086,"CH|FT","Strike","null","null"
"2881","Doug Fister",521692,"FF|FT","Hit","97.7","9.1"
"2882","Doug Fister",521692,"FT|FF","Strike","null","null"
"2885","Doug Fister",408299,"FC|FT","Strike","null","null"
"2891","Doug Fister",543333,"FC|CH","Hit","103.4","18.39"
"2894","Doug Fister",460086,"FC|FT","Hit","104.8","17"
"2898","Doug Fister",444876,"FC|FF","Hit","65.7","-14.69"
"2899","Doug Fister",444876,"FF|FC","Foul","null","null"
"2903","Doug Fister",449181,"FC|FT","Hit","63.9","31.84"
"2905","Doug Fister",434778,"CH|FT","Strike","null","10.14"
"2907","Doug Fister",519058,"FC|FF","Hit","87.6","53.12"
"2910","Doug Fister",434778,"FT|FT","Strike","null","null"
"2913","Doug Fister",434778,"FT|CU","Strike","null","null"
"2914","Doug Fister",434778,"CU|FT","Hit","98.9","19.13"
"2916","Doug Fister",570267,"FT|FT","Strike","null","null"
"2917","Doug Fister",570267,"FT|FC","Foul","null","null"
"2919","Doug Fister",570267,"CU|FT","Hit","102.8","8.97"
"2922","Doug Fister",571697,"CH|CU","Strike","null","null"
"2925","Doug Fister",571697,"FT|CH","Hit","99.3","-14.06"
"2929","Doug Fister",460075,"FC|FT","Foul","null","null"
"2930","Doug Fister",460075,"FT|FT","Strike","null","null"
"2934","Doug Fister",518960,"FC|FT","Strike","null","null"
"2935","Doug Fister",518960,"FT|CU","Foul","null","null"
"2939","Doug Fister",474892,"FT|FT","Strike","null","null"
"2940","Doug Fister",474892,"FT|FT","Strike","null","null"
"2942","Doug Fister",543590,"FT|FT","Foul","null","null"
"2944","Doug Fister",543590,"CU|FF","Swinging Strike","null","null"
"2945","Doug Fister",543590,"FF|FT","Swinging Strike","null","null"
"2947","Doug Fister",503449,"FT|FT","Strike","null","null"
"2949","Doug Fister",503449,"FT|CU","Hit","104.1","41.71"
"2951","Doug Fister",570267,"FC|FT","Strike","null","null"
"2952","Doug Fister",570267,"FT|FC","Swinging Strike","null","null"
"2960","Doug Fister",460075,"FT|CH","Foul","null","null"
"2961","Doug Fister",460075,"CH|FC","Foul","null","null"
"2962","Doug Fister",460075,"FC|CU","Swinging Strike","null","null"
"2964","Doug Fister",518960,"FT|FT","Strike","null","null"
"2965","Doug Fister",518960,"FT|FT","Hit","107.2","15.72"
"2967","Doug Fister",474892,"FC|FT","Strike","null","null"
"2971","Doug Fister",474892,"FT|FC","Swinging Strike","null","null"
"2973","Doug Fister",543590,"FT|CH","Foul","null","null"
"2975","Doug Fister",543590,"FT|FT","Swinging Strike","null","null"
"2978","Doug Fister",592680,"FT|FT","Strike","null","null"
"2981","Doug Fister",592680,"FT|FT","Hit","99.7","18.14"
"2983","Doug Fister",542340,"CU|FT","Hit","80.9","-16.31"
"2987","Doug Fister",460075,"FT|CH","Hit","79.3","-4.15"
"2990","Doug Fister",570267,"FT|FT","Hit","105","-5.81"
"2993","Doug Fister",431094,"FT|FT","Strike","null","null"
"2994","Doug Fister",431094,"FT|FC","Hit","null","null"
"2997","Doug Fister",542340,"FT|FT","Foul","null","null"
"2998","Doug Fister",542340,"FT|FT","Foul","null","null"
"2999","Doug Fister",542340,"FT|FT","Foul","null","null"
"3000","Doug Fister",542340,"FT|CU","Hit","97.9","2.29"
