"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1375","Doug Fister",501981,"FF|FF","Hit","84","-16.86"
"1376","Doug Fister",501981,"FF|FF","Strike","null","null"
"1380","Doug Fister",519390,"CU|FF","Strike","null","null"
"1381","Doug Fister",519390,"FF|FF","Hit","93.1","35.26"
"1384","Doug Fister",475174,"CH|FT","Strike","null","null"
"1385","Doug Fister",475174,"FT|CH","Foul","null","null"
"1387","Doug Fister",475174,"FC|FF","Strike","null","null"
"1391","Doug Fister",519295,"FT|CU","Strike","null","null"
"1394","Doug Fister",424825,"CU|CU","Swinging Strike","null","null"
"1395","Doug Fister",424825,"CU|FF","Foul","null","null"
"1398","Doug Fister",476704,"FT|CU","Strike","null","null"
"1400","Doug Fister",476704,"CU|FC","Hit","93.7","19"
"1402","Doug Fister",502210,"FF|CU","Strike","null","null"
"1403","Doug Fister",502210,"CU|CH","Hit","93.1","35.37"
"1406","Doug Fister",502143,"FF|FF","Strike","null","null"
"1408","Doug Fister",501981,"CU|FC","Hit","86.1","31.65"
"1409","Doug Fister",501981,"FC|CU","Strike","null","null"
"1411","Doug Fister",501981,"FF|FF","Swinging Strike","null","null"
"1414","Doug Fister",543760,"FF|CU","Hit","93.3","33.37"
"1421","Doug Fister",542993,"FT|CU","Strike","null","null"
"1423","Doug Fister",542993,"CU|FT","Swinging Strike","null","null"
"1425","Doug Fister",543760,"FF|FC","Hit","59.7","-22.4"
"1428","Doug Fister",641313,"CU|FC","Hit","73.6","7.67"
"1429","Doug Fister",641313,"FC|FF","Strike","null","null"
"1431","Doug Fister",641313,"FF|FT","Hit","74.9","28.84"
"1432","Doug Fister",641313,"FT|FF","Foul","null","null"
"1434","Doug Fister",594809,"FF|FF","Strike","null","null"
"1435","Doug Fister",594809,"FF|FT","Foul","null","null"
"1440","Doug Fister",547989,"FT|FF","Foul","null","null"
"1441","Doug Fister",547989,"FF|FT","Hit","54.3","11.69"
"1444","Doug Fister",453943,"FF|FC","Strike","null","null"
"1445","Doug Fister",453943,"FC|FT","Foul","null","null"
"1448","Doug Fister",453943,"FC|FT","Foul","null","null"
"1449","Doug Fister",453943,"FT|FC","Foul","null","null"
"1450","Doug Fister",453943,"FC|FT","Hit","86.9","12.89"
"1453","Doug Fister",488671,"FT|FF","Strike","null","null"
"1458","Doug Fister",543434,"FT|FT","Foul","null","null"
"1461","Doug Fister",543434,"FT|FF","Hit","null","null"
"1465","Doug Fister",425900,"CH|FT","Foul","null","null"
"1468","Doug Fister",541645,"FF|FT","Foul","null","null"
"1471","Doug Fister",541645,"FT|FF","Strike","null","null"
