"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"159","Lucas Harrell",547172,"FT|FT","Hit","89.3","19.44"
"160","Lucas Harrell",547172,"FT|FT","Strike","null","null"
"163","Lucas Harrell",571448,"FT|CH","Hit","105.3","16.22"
"169","Lucas Harrell",543807,"FT|FF","Strike","null","null"
"173","Lucas Harrell",608324,"FF|FF","Foul","null","null"
"174","Lucas Harrell",608324,"FF|FF","Hit","97.4","19.55"
"176","Lucas Harrell",514888,"CU|FT","Foul","null","null"
"178","Lucas Harrell",514888,"FF|CU","Hit","79.7","-37.73"
"181","Lucas Harrell",621043,"FT|CU","Strike","null","null"
"194","Lucas Harrell",607223,"CU|FF","Strike","null","null"
"199","Lucas Harrell",545350,"FF|FF","Foul","null","null"
"200","Lucas Harrell",545350,"FF|FT","Foul","null","null"
"202","Lucas Harrell",545350,"CU|FT","Hit","77.4","19.82"
"205","Lucas Harrell",488771,"FF|FF","Foul","null","null"
"210","Lucas Harrell",543807,"FT|SL","Strike","null","null"
"211","Lucas Harrell",543807,"SL|FT","Strike","null","null"
"214","Lucas Harrell",608324,"SL|SL","Strike","null","null"
"217","Lucas Harrell",608324,"SL|SL","Strike","null","null"
"220","Lucas Harrell",514888,"SL|SL","Strike","null","null"
"221","Lucas Harrell",514888,"SL|CU","Strike","null","null"
"225","Lucas Harrell",621043,"FT|SL","Strike","null","null"
"227","Lucas Harrell",621043,"SL|FT","Foul","null","null"
"228","Lucas Harrell",621043,"FT|FT","Foul","null","null"
"229","Lucas Harrell",621043,"FT|FT","Foul","null","null"
"231","Lucas Harrell",621043,"CU|CU","Foul","null","null"
"232","Lucas Harrell",621043,"CU|FT","Hit","98.9","15.48"
"239","Lucas Harrell",545350,"CU|SL","Hit","102.1","-2.14"
"244","Lucas Harrell",608324,"CU|FF","Hit","102.5","12.68"
"247","Lucas Harrell",605512,"FF|FT","Foul","null","null"
"250","Lucas Harrell",605512,"CU|SL","Hit","75.3","-55.13"
"252","Lucas Harrell",488771,"FF|SL","Foul","null","null"
"254","Lucas Harrell",488771,"FF|CU","Hit","57.1","-48.9"
"257","Lucas Harrell",543807,"FT|FT","Hit","82.4","-14.84"
"260","Lucas Harrell",596144,"SL|SL","Hit","106","5.64"
"261","Lucas Harrell",596144,"SL|FF","Strike","null","null"
"263","Lucas Harrell",543333,"SL|FT","Hit","100.9","22.87"
"271","Lucas Harrell",460086,"SL|FT","Hit","87.9","18.01"
"272","Lucas Harrell",460086,"FT|FF","Strike","null","null"
"277","Lucas Harrell",460077,"SL|CU","Hit","80.9","-8.21"
"278","Lucas Harrell",460077,"CU|SL","Foul","null","null"
"279","Lucas Harrell",460077,"SL|SL","Strike","null","null"
"281","Lucas Harrell",502481,"SL|SL","Hit","76.1","-16.49"
"286","Lucas Harrell",444876,"SL|FT","Hit","70.8","-25.06"
"288","Lucas Harrell",444876,"SL|FF","Foul","null","null"
"290","Lucas Harrell",596144,"SL|FT","Strike","null","null"
"291","Lucas Harrell",596144,"FT|FF","Foul","null","null"
"297","Lucas Harrell",543333,"CU|CU","Foul","null","null"
"298","Lucas Harrell",543333,"CU|FF","Strike","null","null"
"306","Lucas Harrell",434778,"FT|FT","Strike","null","null"
